@RELATION atmosphere.n


@ATTRIBUTE sense {0001000, 0100000, 0011000, 0000000, 1000010, 0000001, 0010010, 1000000, 1000001, 0100001, 0000010, 0010000}
@ATTRIBUTE #samuels{0,1}
@ATTRIBUTE #brothels{0,1}
@ATTRIBUTE #tinkled{0,1}
@ATTRIBUTE #merited{0,1}
@ATTRIBUTE #localism{0,1}
@ATTRIBUTE #debilitated{0,1}
@ATTRIBUTE #morrys{0,1}
@ATTRIBUTE #avail{0,1}
@ATTRIBUTE #mackerras{0,1}
@ATTRIBUTE #atsr{0,1}
@ATTRIBUTE #wintour{0,1}
@ATTRIBUTE #fundus{0,1}
@ATTRIBUTE #whorehouses{0,1}
@ATTRIBUTE #elicits{0,1}
@ATTRIBUTE #surrogate{0,1}
@ATTRIBUTE #chor{0,1}
@ATTRIBUTE #stoppage{0,1}
@ATTRIBUTE #tinc{0,1}
@ATTRIBUTE #orwell{0,1}
@ATTRIBUTE #chp{0,1}
@ATTRIBUTE #cherney{0,1}
@ATTRIBUTE #amuses{0,1}
@ATTRIBUTE #calfa{0,1}
@ATTRIBUTE #cinephiles{0,1}

@DATA
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
