@RELATION hear.v


@ATTRIBUTE sense {00001000, 10000000, 00100000, 00000010, 00000000, 01000000, 00010000}
@ATTRIBUTE #horwath{0,1}
@ATTRIBUTE #bodlender{0,1}
@ATTRIBUTE #buries{0,1}
@ATTRIBUTE #unwordable{0,1}

@DATA
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
00000000, 0, 0, 0, 0
