@RELATION important.a


@ATTRIBUTE sense {000010, 001000, 010000, 001101, 010100, 010101, 011000, 011100, 000100, 000000, 000101, 000001}
@ATTRIBUTE #single{0,1}
@ATTRIBUTE #understand{0,1}
@ATTRIBUTE #student{0,1}
@ATTRIBUTE #self{0,1}
@ATTRIBUTE #novel{0,1}
@ATTRIBUTE #development{0,1}
@ATTRIBUTE #criticism{0,1}
@ATTRIBUTE #countries{0,1}
@ATTRIBUTE #believe{0,1}
@ATTRIBUTE #Perhaps{0,1}
@ATTRIBUTE #ACET{0,1}
@ATTRIBUTE #weight{0,1}

@DATA
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,1,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
