@RELATION operate.v


@ATTRIBUTE sense {010000, 001000, 000000, 000001}
@ATTRIBUTE #beer{0,1}
@ATTRIBUTE #battery{0,1}
@ATTRIBUTE #syringe{0,1}
@ATTRIBUTE #suction{0,1}
@ATTRIBUTE #reveal{0,1}
@ATTRIBUTE #pumps{0,1}
@ATTRIBUTE #pump{0,1}
@ATTRIBUTE #bar{0,1}
@ATTRIBUTE #written{0,1}
@ATTRIBUTE #west{0,1}
@ATTRIBUTE #vertically{0,1}
@ATTRIBUTE #variety{0,1}

@DATA
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,1,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0,0,0
