@RELATION play.v


@ATTRIBUTE sense {0000000000100, 0010000000000, 0000000000010, 0100000000000, 0000000000000, 1000000000000, 0000100000000, 0000000000001, 0000010000000, 0000000001000, 0000000010000}
@ATTRIBUTE #holla{0,1}
@ATTRIBUTE #ryecart{0,1}
@ATTRIBUTE #trodden{0,1}
@ATTRIBUTE #escalators{0,1}
@ATTRIBUTE #swivel{0,1}

@DATA
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0
