@RELATION receive.v


@ATTRIBUTE sense {0100000000, 0010000000, 0000100000, 0000000000, 0000010000}
@ATTRIBUTE #childminder{0,1}
@ATTRIBUTE #sutton{0,1}
@ATTRIBUTE #logger{0,1}
@ATTRIBUTE #pki{0,1}
@ATTRIBUTE #quadrant{0,1}

@DATA
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 1, 0
0000000000, 0, 0, 0, 0, 0
