@RELATION remain.v


@ATTRIBUTE sense {0001, 0000, 0010, 1000, 0100}
@ATTRIBUTE #prisoners{0,1}
@ATTRIBUTE #prison{0,1}
@ATTRIBUTE #conscience{0,1}
@ATTRIBUTE #today{0,1}
@ATTRIBUTE #religious{0,1}
@ATTRIBUTE #ourselves{0,1}
@ATTRIBUTE #mid{0,1}
@ATTRIBUTE #largely{0,1}
@ATTRIBUTE #intact{0,1}
@ATTRIBUTE #dominant{0,1}
@ATTRIBUTE #design{0,1}
@ATTRIBUTE #church{0,1}

@DATA
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,1,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,1,1,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0,0,0
