@RELATION sort.n


@ATTRIBUTE sense {00000, 00001, 10000, 01000, 00010, 00110, 00100, 01100}
@ATTRIBUTE #various{0,1}
@ATTRIBUTE #saying{0,1}
@ATTRIBUTE #flat{0,1}
@ATTRIBUTE #theory{0,1}
@ATTRIBUTE #success{0,1}
@ATTRIBUTE #stuff{0,1}
@ATTRIBUTE #simply{0,1}
@ATTRIBUTE #self{0,1}
@ATTRIBUTE #response{0,1}
@ATTRIBUTE #poetry{0,1}
@ATTRIBUTE #perspective{0,1}
@ATTRIBUTE #periodicals{0,1}

@DATA
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,1,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,1,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,1,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,1,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,1,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,1,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,1,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,1,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,1,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,1,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0,0,0
