@RELATION win.v


@ATTRIBUTE sense {00001000, 10000000, 00000100, 10000010, 00000010, 00000000, 01000000, 00010000}
@ATTRIBUTE #cuisinires{0,1}
@ATTRIBUTE #speedily{0,1}
@ATTRIBUTE #hurst{0,1}

@DATA
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 1
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
00000000, 0, 0, 0
