@RELATION activate.v


@ATTRIBUTE sense {001010, 010000, 001100, 001000, 010100, 011000, 011100, 000100, 000000, 110000, 100000}
@ATTRIBUTE #neimark{0,1}
@ATTRIBUTE #galeries{0,1}
@ATTRIBUTE #gaston{0,1}
@ATTRIBUTE #winnnnerrrr{0,1}
@ATTRIBUTE #reverser{0,1}
@ATTRIBUTE #ballpoint{0,1}
@ATTRIBUTE #gentlest{0,1}
@ATTRIBUTE #sommer{0,1}
@ATTRIBUTE #porcine{0,1}
@ATTRIBUTE #thriault{0,1}
@ATTRIBUTE #lab{0,1}
@ATTRIBUTE #horsey{0,1}
@ATTRIBUTE #retrievable{0,1}
@ATTRIBUTE #carcinogens{0,1}
@ATTRIBUTE #tilman{0,1}
@ATTRIBUTE #pflgl{0,1}
@ATTRIBUTE #elastase{0,1}
@ATTRIBUTE #yoshiya{0,1}
@ATTRIBUTE #estes{0,1}
@ATTRIBUTE #refracted{0,1}
@ATTRIBUTE #motorized{0,1}
@ATTRIBUTE #dodging{0,1}
@ATTRIBUTE #predawn{0,1}
@ATTRIBUTE #diagnostic{0,1}
@ATTRIBUTE #awaken{0,1}
@ATTRIBUTE #acqua{0,1}
@ATTRIBUTE #yves{0,1}
@ATTRIBUTE #durranhill{0,1}
@ATTRIBUTE #alta{0,1}
@ATTRIBUTE #retracing{0,1}
@ATTRIBUTE #hela{0,1}
@ATTRIBUTE #melanoma{0,1}
@ATTRIBUTE #blossoms{0,1}
@ATTRIBUTE #cimmerian{0,1}
@ATTRIBUTE #kallen{0,1}
@ATTRIBUTE #hawk{0,1}
@ATTRIBUTE #obey{0,1}
@ATTRIBUTE #dosing{0,1}
@ATTRIBUTE #dissertation{0,1}
@ATTRIBUTE #sulphonylurea{0,1}
@ATTRIBUTE #constitutive{0,1}
@ATTRIBUTE #trimaran{0,1}
@ATTRIBUTE #carbonyls{0,1}
@ATTRIBUTE #jrg{0,1}
@ATTRIBUTE #selectivity{0,1}
@ATTRIBUTE #tanaka{0,1}

@DATA
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
