@RELATION bank.n


@ATTRIBUTE sense {01000000000, 10000000000, 00101000000, 00000001100, 10000001000, 00000001000, 00001000000, 00000100000, 00000000001, 00000000000, 00000010000, 00000000010, 00100000000, 00000000100, 00000011000}
@ATTRIBUTE #mosque{0,1}
@ATTRIBUTE #bets{0,1}
@ATTRIBUTE #amd{0,1}
@ATTRIBUTE #disinvestors{0,1}
@ATTRIBUTE #clytemnestra{0,1}
@ATTRIBUTE #impropriety{0,1}
@ATTRIBUTE #ferdinandson{0,1}
@ATTRIBUTE #jurg{0,1}
@ATTRIBUTE #ecus{0,1}
@ATTRIBUTE #consortia{0,1}
@ATTRIBUTE #moratorium{0,1}
@ATTRIBUTE #mahon{0,1}
@ATTRIBUTE #obediently{0,1}
@ATTRIBUTE #redesign{0,1}
@ATTRIBUTE #cancellation{0,1}
@ATTRIBUTE #headhunted{0,1}
@ATTRIBUTE #vengsya{0,1}
@ATTRIBUTE #haflor{0,1}
@ATTRIBUTE #tu{0,1}
@ATTRIBUTE #tameside{0,1}
@ATTRIBUTE #bingley{0,1}
@ATTRIBUTE #charcol{0,1}
@ATTRIBUTE #perigords{0,1}
@ATTRIBUTE #agnostic{0,1}
@ATTRIBUTE #succeeeds{0,1}
@ATTRIBUTE #songwriting{0,1}
@ATTRIBUTE #niehans{0,1}

@DATA
00000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000001000, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
