@RELATION different.a


@ATTRIBUTE sense {000010, 010001, 001010, 010000, 001100, 001000, 010100, 011000, 000100, 000000, 100000, 000001}
@ATTRIBUTE #rudolph{0,1}
@ATTRIBUTE #predicates{0,1}
@ATTRIBUTE #burridge{0,1}
@ATTRIBUTE #wittkower{0,1}
@ATTRIBUTE #mauritanian{0,1}

@DATA
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000001, 0, 1, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
001000, 1, 0, 0, 1, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
010000, 0, 0, 0, 0, 1
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
010000, 0, 0, 1, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0
