@RELATION express.v


@ATTRIBUTE sense {00000, 00001, 10000, 01000, 00010, 00101, 00100}
@ATTRIBUTE #cauthen{0,1}
@ATTRIBUTE #facet{0,1}
@ATTRIBUTE #balcon{0,1}
@ATTRIBUTE #goverment{0,1}
@ATTRIBUTE #pistoletto{0,1}
@ATTRIBUTE #kelsey{0,1}
@ATTRIBUTE #transportation{0,1}
@ATTRIBUTE #merz{0,1}
@ATTRIBUTE #envoi{0,1}
@ATTRIBUTE #inarticulate{0,1}
@ATTRIBUTE #nightclub{0,1}
@ATTRIBUTE #repointing{0,1}
@ATTRIBUTE #panasonic{0,1}

@DATA
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
