@RELATION important.a


@ATTRIBUTE sense {000010, 001000, 010000, 001101, 010100, 010101, 011000, 011100, 000100, 000000, 000101, 000001}
@ATTRIBUTE #single{0,1}
@ATTRIBUTE #understand{0,1}
@ATTRIBUTE #student{0,1}
@ATTRIBUTE #self{0,1}
@ATTRIBUTE #novel{0,1}
@ATTRIBUTE #development{0,1}
@ATTRIBUTE #criticism{0,1}
@ATTRIBUTE #countries{0,1}
@ATTRIBUTE #believe{0,1}
@ATTRIBUTE #Perhaps{0,1}
@ATTRIBUTE #ACET{0,1}
@ATTRIBUTE #weight{0,1}

@DATA
011000,0,0,0,0,0,0,0,0,0,0,0,0
000100,0,0,1,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
011000,0,1,1,0,0,0,0,0,0,0,0,0
000100,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
000001,0,0,0,0,0,0,0,0,0,0,0,0
010101,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,1
010100,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000010,1,0,0,1,0,0,0,0,0,0,0,0
010100,0,0,0,0,0,1,0,0,0,1,0,0
000100,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000101,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,1,0,0,0,0,0,0,0,0,0,0
011000,0,0,0,0,1,0,0,0,0,0,0,0
010100,0,0,0,0,0,0,0,0,1,0,1,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
000100,0,0,0,0,0,0,0,0,0,0,0,0
000100,0,0,0,0,0,0,0,1,0,0,0,0
001101,0,0,0,0,0,1,1,0,0,0,0,0
000001,0,0,0,0,0,0,0,0,0,0,0,0
011000,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
011100,0,0,0,0,1,0,0,0,0,0,0,0
000001,1,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
001000,0,0,0,0,0,0,0,0,1,0,1,0
000100,0,0,0,0,0,0,0,0,0,1,0,0
001000,0,0,0,0,0,0,0,0,0,0,0,0
000100,0,0,0,0,0,0,1,0,0,0,0,0
001000,1,0,0,0,0,0,0,0,0,0,0,0
