@RELATION lose.v


@ATTRIBUTE sense {0100000000, 0010000000, 0000100000, 0001000000, 0000001000, 0000000000, 0000000100, 0000010000}
@ATTRIBUTE #burrow{0,1}
@ATTRIBUTE #replaceable{0,1}
@ATTRIBUTE #deservedly{0,1}
@ATTRIBUTE #dugouts{0,1}
@ATTRIBUTE #revere{0,1}
@ATTRIBUTE #loe{0,1}
@ATTRIBUTE #grieving{0,1}

@DATA
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000100000, 0, 0, 0, 0, 0, 0, 1
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000100000, 0, 0, 0, 0, 0, 1, 0
0000100000, 0, 0, 0, 1, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000100000, 1, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0001000000, 0, 0, 0, 0, 1, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0010000000, 0, 1, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0100000000, 0, 0, 1, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0
