@RELATION mean.v


@ATTRIBUTE sense {00001000, 10000000, 00000100, 00100000, 00000001, 00000000, 01000000, 00010000}
@ATTRIBUTE #mails{0,1}
@ATTRIBUTE #hora{0,1}
@ATTRIBUTE #kroy{0,1}
@ATTRIBUTE #sempre{0,1}
@ATTRIBUTE #widen{0,1}
@ATTRIBUTE #danesfield{0,1}
@ATTRIBUTE #wrestling{0,1}
@ATTRIBUTE #vermeer{0,1}
@ATTRIBUTE #mottoes{0,1}
@ATTRIBUTE #brilliantine{0,1}

@DATA
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001000, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
