@RELATION paper.n


@ATTRIBUTE sense {00101000, 00100100, 00000001, 00000000, 01000000, 00010010, 11000000, 10000001, 00010000, 00100001, 00001000, 10000000, 00000100, 10000010, 10100000, 00000110, 00001010, 00100000, 00000010, 00011000, 01100000, 10001000}
@ATTRIBUTE #published{0,1}
@ATTRIBUTE #consultation{0,1}
@ATTRIBUTE #tape{0,1}
@ATTRIBUTE #News{0,1}
@ATTRIBUTE #written{0,1}
@ATTRIBUTE #write{0,1}
@ATTRIBUTE #word{0,1}
@ATTRIBUTE #readers{0,1}
@ATTRIBUTE #printed{0,1}
@ATTRIBUTE #page{0,1}
@ATTRIBUTE #looked{0,1}
@ATTRIBUTE #fine{0,1}

@DATA
00101000,0,0,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,0,0,0,0,1,0,0,0,0
00000100,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,1,0,0,0,0,0,0,0
00011000,0,0,0,0,0,0,0,0,0,0,0,0
00011000,0,0,0,0,0,0,0,0,0,0,0,0
10000001,0,0,0,0,0,0,0,0,0,0,0,0
00011000,0,0,0,0,0,0,0,0,0,0,0,0
00100000,0,0,0,0,1,0,0,0,0,0,0,0
00000100,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,1,0,0,0,0,0,0,0,0,0,0,0
00000001,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,0,0,0,0,0,0,0,0,0
00010010,0,0,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,1,0,0,0,0,0,0,0,0
00011000,0,0,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00100000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00100000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00000001,0,0,0,0,0,0,0,0,0,0,0,0
00000001,0,0,0,0,0,0,0,0,0,0,0,0
00100000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,0,0,0,0,0,0,0,0,0
00100000,0,0,0,0,0,0,0,0,0,0,0,0
00100001,0,0,0,0,0,0,0,0,0,0,0,0
00000001,0,0,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,0,0,0,0,1,0,0,0,0
00000010,0,0,0,0,0,0,0,0,0,0,0,0
00000110,0,0,0,0,0,0,0,0,0,0,0,0
00001000,1,0,0,0,0,0,0,0,0,0,0,0
00100001,0,0,0,0,0,0,0,0,0,0,0,0
00000001,0,0,0,0,0,0,0,0,1,0,0,0
00000001,0,0,0,0,0,0,0,0,0,0,0,0
00000110,0,0,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,0,0,0,0,0,0,0,0,0
00001000,1,0,0,0,0,0,0,0,0,0,0,0
00011000,0,0,0,0,0,0,0,0,0,0,0,0
00100000,0,0,0,0,0,0,0,0,0,0,0,0
