@RELATION treat.v


@ATTRIBUTE sense {1000000000, 0100000000, 0000100000, 0010000000, 0000000010, 0001000000, 0000001000, 0000000000, 0000000100, 0000010000}
@ATTRIBUTE #wood{0,1}
@ATTRIBUTE #preservative{0,1}
@ATTRIBUTE #tough{0,1}
@ATTRIBUTE #timber{0,1}
@ATTRIBUTE #tend{0,1}
@ATTRIBUTE #suggesting{0,1}
@ATTRIBUTE #studies{0,1}
@ATTRIBUTE #soil{0,1}
@ATTRIBUTE #simple{0,1}
@ATTRIBUTE #silicone{0,1}
@ATTRIBUTE #region{0,1}
@ATTRIBUTE #offence{0,1}

@DATA
0000000010,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
1000000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,1
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000001000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100,0,0,0,0,0,0,0,0,0,0,0,0
0000000100,1,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100,0,1,0,0,0,0,0,0,0,0,0,0
0000000100,0,0,0,0,0,0,0,0,0,0,0,0
0000100000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0000010000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100,1,1,0,1,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,1,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,1,0,0,0,0,0,0,0,0,0
0000000100,0,0,0,0,0,0,0,1,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000010000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100,1,0,0,0,0,0,0,0,0,0,0,0
0000000010,0,0,0,0,0,0,1,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0000100000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,1,0,0,0,0,0
0100000000,0,0,0,0,0,1,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100,0,0,0,0,0,0,0,0,0,1,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000100000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,1
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,1,0
0000000100,0,0,0,0,0,0,0,1,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0001000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100,0,1,0,1,0,0,0,0,1,0,0,0
0000000100,0,1,0,0,0,0,0,0,1,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100,1,0,0,1,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000,0,0,1,0,0,0,0,0,0,0,0,0
0000000100,0,0,0,0,0,0,0,0,0,0,0,0
0100000000,0,0,0,0,0,0,0,0,0,0,0,0
