@RELATION add.v


@ATTRIBUTE sense {0001000, 0010010, 1000000, 0100001, 0000010, 1001000, 0100000, 0000100, 0100100, 0000101, 0000000, 0000001, 0101000}
@ATTRIBUTE #extra{0,1}
@ATTRIBUTE #hops{0,1}
@ATTRIBUTE #water{0,1}
@ATTRIBUTE #first{0,1}
@ATTRIBUTE #output{0,1}
@ATTRIBUTE #might{0,1}
@ATTRIBUTE #even{0,1}
@ATTRIBUTE #cask{0,1}
@ATTRIBUTE #brewers{0,1}
@ATTRIBUTE #beer{0,1}

@DATA
0000000,0,0,0,1,0,1,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,1,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
