@RELATION ask.v


@ATTRIBUTE sense {0001000, 1000010, 0010010, 1000000, 0010001, 0000010, 0010000, 1100000, 0100000, 0000100, 0011000, 0000000, 0000001, 0100010, 0010100, 0001001}
@ATTRIBUTE #vive{0,1}
@ATTRIBUTE #flatmate{0,1}
@ATTRIBUTE #bsi{0,1}
@ATTRIBUTE #heauy{0,1}
@ATTRIBUTE #parentcraft{0,1}
@ATTRIBUTE #potions{0,1}
@ATTRIBUTE #overtired{0,1}
@ATTRIBUTE #hummed{0,1}
@ATTRIBUTE #wingtip{0,1}
@ATTRIBUTE #misrables{0,1}
@ATTRIBUTE #siena{0,1}
@ATTRIBUTE #dramatizing{0,1}

@DATA
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
