@RELATION begin.v


@ATTRIBUTE senses {00000, 00001, 10000, 01000, 00010, 00100}
@ATTRIBUTE #swinging{0,1}
@ATTRIBUTE #discussion{0,1}
@ATTRIBUTE #understand{0,1}
@ATTRIBUTE #rotate{0,1}
@ATTRIBUTE #revolution{0,1}
@ATTRIBUTE #naipaul{0,1}
@ATTRIBUTE #neutralize{0,1}
@ATTRIBUTE #whirr{0,1}
@ATTRIBUTE #production{0,1}
@ATTRIBUTE #subside{0,1}
@ATTRIBUTE #break{0,1}
@ATTRIBUTE #initial{0,1}
@ATTRIBUTE #limewashing{0,1}
@ATTRIBUTE #variants{0,1}
@ATTRIBUTE #yeast{0,1}
@ATTRIBUTE #glider{0,1}
@ATTRIBUTE #dorothy{0,1}
@ATTRIBUTE #voluntary{0,1}
@ATTRIBUTE #armed{0,1}
@ATTRIBUTE #hyperventilate{0,1}
@ATTRIBUTE #sara{0,1}
@ATTRIBUTE #gnash{0,1}
@ATTRIBUTE #accelerate{0,1}
@ATTRIBUTE #form{0,1}
@ATTRIBUTE #roots{0,1}
@ATTRIBUTE #admiring{0,1}
@ATTRIBUTE #career{0,1}
@ATTRIBUTE #again{0,1}
@ATTRIBUTE #originating{0,1}
@ATTRIBUTE #shall{0,1}
@ATTRIBUTE #solid{0,1}
@ATTRIBUTE #harvested{0,1}
@ATTRIBUTE #pettifer{0,1}
@ATTRIBUTE #session{0,1}
@ATTRIBUTE #crystallise{0,1}
@ATTRIBUTE #smoothly{0,1}
@ATTRIBUTE #doubtful{0,1}
@ATTRIBUTE #rodney{0,1}
@ATTRIBUTE #violated{0,1}
@ATTRIBUTE #conflict{0,1}
@ATTRIBUTE #soap{0,1}
@ATTRIBUTE #locked{0,1}
@ATTRIBUTE #creeds{0,1}
@ATTRIBUTE #ask{0,1}
@ATTRIBUTE #dangers{0,1}
@ATTRIBUTE #foam{0,1}
@ATTRIBUTE #series{0,1}
@ATTRIBUTE #interval{0,1}
@ATTRIBUTE #terrify{0,1}
@ATTRIBUTE #gradually{0,1}
@ATTRIBUTE #comparing{0,1}
@ATTRIBUTE #jamie{0,1}
@ATTRIBUTE #finally{0,1}
@ATTRIBUTE #reasons{0,1}
@ATTRIBUTE #philbin{0,1}
@ATTRIBUTE #bishops{0,1}
@ATTRIBUTE #allegation{0,1}
@ATTRIBUTE #transform{0,1}
@ATTRIBUTE #distance{0,1}
@ATTRIBUTE #frailty{0,1}
@ATTRIBUTE #consider{0,1}
@ATTRIBUTE #nocturnal{0,1}
@ATTRIBUTE #nazis{0,1}
@ATTRIBUTE #write{0,1}
@ATTRIBUTE #angled{0,1}
@ATTRIBUTE #corkscrew{0,1}
@ATTRIBUTE #convincing{0,1}
@ATTRIBUTE #opera{0,1}
@ATTRIBUTE #yardley{0,1}
@ATTRIBUTE #banner{0,1}
@ATTRIBUTE #perspire{0,1}
@ATTRIBUTE #look{0,1}
@ATTRIBUTE #whilst{0,1}
@ATTRIBUTE #drag{0,1}
@ATTRIBUTE #goldberg{0,1}
@ATTRIBUTE #glimpse{0,1}
@ATTRIBUTE #gain{0,1}
@ATTRIBUTE #burgeon{0,1}
@ATTRIBUTE #chair{0,1}
@ATTRIBUTE #sending{0,1}
@ATTRIBUTE #transplant{0,1}
@ATTRIBUTE #interject{0,1}
@ATTRIBUTE #russia{0,1}
@ATTRIBUTE #jumped{0,1}
@ATTRIBUTE #exists{0,1}
@ATTRIBUTE #october{0,1}
@ATTRIBUTE #successful{0,1}
@ATTRIBUTE #simon{0,1}
@ATTRIBUTE #nose{0,1}
@ATTRIBUTE #ago{0,1}
@ATTRIBUTE #realize{0,1}
@ATTRIBUTE #send{0,1}
@ATTRIBUTE #hate{0,1}
@ATTRIBUTE #moodswings{0,1}
@ATTRIBUTE #second{0,1}
@ATTRIBUTE #centre{0,1}
@ATTRIBUTE #tummel{0,1}
@ATTRIBUTE #pull{0,1}
@ATTRIBUTE #ended{0,1}
@ATTRIBUTE #type{0,1}
@ATTRIBUTE #identified{0,1}
@ATTRIBUTE #middle{0,1}
@ATTRIBUTE #changed{0,1}
@ATTRIBUTE #asian{0,1}
@ATTRIBUTE #partition{0,1}
@ATTRIBUTE #cars{0,1}
@ATTRIBUTE #pouring{0,1}
@ATTRIBUTE #wonder{0,1}
@ATTRIBUTE #pressurize{0,1}
@ATTRIBUTE #ply{0,1}
@ATTRIBUTE #yvette{0,1}
@ATTRIBUTE #esses{0,1}
@ATTRIBUTE #materialize{0,1}
@ATTRIBUTE #returning{0,1}
@ATTRIBUTE #scream{0,1}
@ATTRIBUTE #bishop{0,1}
@ATTRIBUTE #enterprise{0,1}
@ATTRIBUTE #campaigns{0,1}
@ATTRIBUTE #sink{0,1}
@ATTRIBUTE #strip{0,1}
@ATTRIBUTE #unwell{0,1}
@ATTRIBUTE #hips{0,1}
@ATTRIBUTE #knows{0,1}
@ATTRIBUTE #hearing{0,1}
@ATTRIBUTE #refuse{0,1}
@ATTRIBUTE #intimidation{0,1}
@ATTRIBUTE #anger{0,1}
@ATTRIBUTE #dress{0,1}
@ATTRIBUTE #shrilly{0,1}
@ATTRIBUTE #dust{0,1}
@ATTRIBUTE #due{0,1}
@ATTRIBUTE #particles{0,1}
@ATTRIBUTE #anxieties{0,1}
@ATTRIBUTE #parents{0,1}
@ATTRIBUTE #loss{0,1}
@ATTRIBUTE #sniffle{0,1}
@ATTRIBUTE #earnest{0,1}
@ATTRIBUTE #promotion{0,1}
@ATTRIBUTE #merely{0,1}
@ATTRIBUTE #swiss{0,1}
@ATTRIBUTE #woodleigh{0,1}
@ATTRIBUTE #pursue{0,1}
@ATTRIBUTE #scarcely{0,1}
@ATTRIBUTE #heave{0,1}
@ATTRIBUTE #demonstrates{0,1}
@ATTRIBUTE #msec{0,1}
@ATTRIBUTE #poem{0,1}
@ATTRIBUTE #harley{0,1}
@ATTRIBUTE #steeply{0,1}
@ATTRIBUTE #recapitulate{0,1}
@ATTRIBUTE #rice{0,1}
@ATTRIBUTE #fill{0,1}
@ATTRIBUTE #decade{0,1}
@ATTRIBUTE #embarrass{0,1}
@ATTRIBUTE #impinge{0,1}
@ATTRIBUTE #bramble{0,1}
@ATTRIBUTE #secrecy{0,1}
@ATTRIBUTE #conversations{0,1}
@ATTRIBUTE #know{0,1}
@ATTRIBUTE #worse{0,1}
@ATTRIBUTE #throng{0,1}
@ATTRIBUTE #shed{0,1}
@ATTRIBUTE #marxist{0,1}
@ATTRIBUTE #pre{0,1}
@ATTRIBUTE #hobson{0,1}
@ATTRIBUTE #blub{0,1}
@ATTRIBUTE #maid{0,1}
@ATTRIBUTE #venture{0,1}
@ATTRIBUTE #negative{0,1}
@ATTRIBUTE #channel{0,1}
@ATTRIBUTE #wear{0,1}
@ATTRIBUTE #erp{0,1}
@ATTRIBUTE #shift{0,1}

@DATA
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
