@RELATION encounter.v


@ATTRIBUTE sense {00000, 00001, 01000, 00010, 00100}
@ATTRIBUTE #problems{0,1}
@ATTRIBUTE #difficulties{0,1}
@ATTRIBUTE #first{0,1}
@ATTRIBUTE #problem{0,1}
@ATTRIBUTE #people{0,1}
@ATTRIBUTE #likely{0,1}
@ATTRIBUTE #young{0,1}
@ATTRIBUTE #often{0,1}
@ATTRIBUTE #work{0,1}
@ATTRIBUTE #weight{0,1}

@DATA
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,1,0,0,0,1,0,0,0,0,0
00000,0,0,0,0,0,0,0,1,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,1,0,1,0,0,0,0,0,0,0
00000,1,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,1,1,0,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,1,0,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0
00000,0,0,1,0,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0
00000,1,0,1,0,0,0,0,0,0,0
00000,1,0,0,0,0,0,0,0,0,0
00000,1,0,0,0,0,0,0,1,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,1,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,0,0,0,0
00000,0,0,0,0,1,0,0,1,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,0,0,1,0
00000,0,0,0,0,0,0,0,1,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,1,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0
00000,1,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,1,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,1,0,0,0,0,0,0,0,0,0
00000,0,0,1,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,1,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,1,0,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,0,1,0,0
00000,1,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,1,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,1,0,0,0,0,0,0,0,0,0
00000,0,0,1,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,1,0,0,0,0,0,0,0,0,0
00000,1,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,1,0,0,0,0,0
00000,1,0,0,0,0,0,0,0,0,0
00000,0,0,0,0,0,0,0,0,0,0
