@RELATION express.v


@ATTRIBUTE senses {00000, 00001, 10000, 01000, 00010, 00100}
@ATTRIBUTE #ralph{0,1}
@ATTRIBUTE #concern{0,1}
@ATTRIBUTE #vehemently{0,1}
@ATTRIBUTE #powerfully{0,1}
@ATTRIBUTE #whether{0,1}
@ATTRIBUTE #slogan{0,1}
@ATTRIBUTE #thanks{0,1}
@ATTRIBUTE #barrier{0,1}
@ATTRIBUTE #merseyside{0,1}
@ATTRIBUTE #hitchcock{0,1}
@ATTRIBUTE #expectations{0,1}
@ATTRIBUTE #ceilings{0,1}
@ATTRIBUTE #itself{0,1}
@ATTRIBUTE #screaming{0,1}
@ATTRIBUTE #politicians{0,1}
@ATTRIBUTE #thoughts{0,1}
@ATTRIBUTE #sentiments{0,1}
@ATTRIBUTE #support{0,1}
@ATTRIBUTE #defined{0,1}
@ATTRIBUTE #wishes{0,1}
@ATTRIBUTE #contempt{0,1}
@ATTRIBUTE #numerous{0,1}
@ATTRIBUTE #distinctively{0,1}
@ATTRIBUTE #astonishment{0,1}
@ATTRIBUTE #mocked{0,1}
@ATTRIBUTE #eucharistic{0,1}
@ATTRIBUTE #sensible{0,1}
@ATTRIBUTE #twentieth{0,1}
@ATTRIBUTE #collectors{0,1}
@ATTRIBUTE #committee{0,1}
@ATTRIBUTE #fears{0,1}
@ATTRIBUTE #withering{0,1}
@ATTRIBUTE #arrogance{0,1}
@ATTRIBUTE #wealth{0,1}
@ATTRIBUTE #cochrane{0,1}
@ATTRIBUTE #view{0,1}
@ATTRIBUTE #surprise{0,1}
@ATTRIBUTE #attacks{0,1}
@ATTRIBUTE #continues{0,1}
@ATTRIBUTE #architecturally{0,1}
@ATTRIBUTE #analysts{0,1}
@ATTRIBUTE #situationists{0,1}
@ATTRIBUTE #diary{0,1}
@ATTRIBUTE #worlds{0,1}
@ATTRIBUTE #perrin{0,1}
@ATTRIBUTE #attitude{0,1}
@ATTRIBUTE #personal{0,1}
@ATTRIBUTE #heard{0,1}
@ATTRIBUTE #transport{0,1}
@ATTRIBUTE #quarters{0,1}
@ATTRIBUTE #boys{0,1}
@ATTRIBUTE #demonstrative{0,1}
@ATTRIBUTE #celebrates{0,1}
@ATTRIBUTE #beautifully{0,1}
@ATTRIBUTE #solidarity{0,1}
@ATTRIBUTE #speaks{0,1}
@ATTRIBUTE #owen{0,1}
@ATTRIBUTE #struggling{0,1}
@ATTRIBUTE #poland{0,1}
@ATTRIBUTE #speeches{0,1}
@ATTRIBUTE #holism{0,1}
@ATTRIBUTE #erika{0,1}
@ATTRIBUTE #joys{0,1}
@ATTRIBUTE #crudely{0,1}
@ATTRIBUTE #berlin{0,1}
@ATTRIBUTE #exemplified{0,1}
@ATTRIBUTE #supporters{0,1}
@ATTRIBUTE #strongly{0,1}
@ATTRIBUTE #gratitude{0,1}
@ATTRIBUTE #moods{0,1}
@ATTRIBUTE #beliefs{0,1}
@ATTRIBUTE #instructions{0,1}
@ATTRIBUTE #wish{0,1}
@ATTRIBUTE #chinese{0,1}
@ATTRIBUTE #jim{0,1}
@ATTRIBUTE #frankfurt{0,1}
@ATTRIBUTE #dismay{0,1}
@ATTRIBUTE #tools{0,1}
@ATTRIBUTE #values{0,1}
@ATTRIBUTE #soviet{0,1}
@ATTRIBUTE #granfield{0,1}
@ATTRIBUTE #scepticism{0,1}
@ATTRIBUTE #fonteyn{0,1}
@ATTRIBUTE #councillor{0,1}
@ATTRIBUTE #reports{0,1}
@ATTRIBUTE #belief{0,1}
@ATTRIBUTE #extremist{0,1}
@ATTRIBUTE #whims{0,1}
@ATTRIBUTE #collective{0,1}
@ATTRIBUTE #grave{0,1}
@ATTRIBUTE #sense{0,1}
@ATTRIBUTE #ackroyd{0,1}
@ATTRIBUTE #stories{0,1}
@ATTRIBUTE #policing{0,1}
@ATTRIBUTE #joyfully{0,1}
@ATTRIBUTE #reductions{0,1}
@ATTRIBUTE #oftel{0,1}
@ATTRIBUTE #citizens{0,1}
@ATTRIBUTE #opinions{0,1}
@ATTRIBUTE #marx{0,1}
@ATTRIBUTE #ray{0,1}
@ATTRIBUTE #chatterton{0,1}
@ATTRIBUTE #perception{0,1}
@ATTRIBUTE #consensus{0,1}
@ATTRIBUTE #understanding{0,1}
@ATTRIBUTE #libretti{0,1}
@ATTRIBUTE #disappointment{0,1}
@ATTRIBUTE #epithet{0,1}
@ATTRIBUTE #neuroscience{0,1}
@ATTRIBUTE #doubts{0,1}
@ATTRIBUTE #emotions{0,1}
@ATTRIBUTE #below{0,1}
@ATTRIBUTE #passion{0,1}
@ATTRIBUTE #bonn{0,1}
@ATTRIBUTE #leaflet{0,1}
@ATTRIBUTE #drug{0,1}
@ATTRIBUTE #misgivings{0,1}
@ATTRIBUTE #snowden{0,1}
@ATTRIBUTE #hume{0,1}
@ATTRIBUTE #margot{0,1}
@ATTRIBUTE #political{0,1}
@ATTRIBUTE #situationist{0,1}
@ATTRIBUTE #reappear{0,1}
@ATTRIBUTE #readably{0,1}
@ATTRIBUTE #economists{0,1}
@ATTRIBUTE #separation{0,1}
@ATTRIBUTE #creatively{0,1}
@ATTRIBUTE #gesture{0,1}
@ATTRIBUTE #thousand{0,1}
@ATTRIBUTE #reservations{0,1}
@ATTRIBUTE #ending{0,1}
@ATTRIBUTE #aroused{0,1}
@ATTRIBUTE #solos{0,1}
@ATTRIBUTE #wider{0,1}
@ATTRIBUTE #infinite{0,1}
@ATTRIBUTE #ai{0,1}
@ATTRIBUTE #viewpoints{0,1}
@ATTRIBUTE #views{0,1}
@ATTRIBUTE #valedictory{0,1}
@ATTRIBUTE #brief{0,1}
@ATTRIBUTE #forceful{0,1}
@ATTRIBUTE #river{0,1}
@ATTRIBUTE #delegates{0,1}

@DATA
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
