@RELATION judgment.n


@ATTRIBUTE senses {00001000, 00000100, 00100000, 00000010, 00000001, 00000000, 01000000, 00010000}
@ATTRIBUTE #suspend{0,1}
@ATTRIBUTE #depositors{0,1}
@ATTRIBUTE #lorna{0,1}
@ATTRIBUTE #passed{0,1}
@ATTRIBUTE #determination{0,1}
@ATTRIBUTE #court{0,1}
@ATTRIBUTE #striking{0,1}
@ATTRIBUTE #stirs{0,1}
@ATTRIBUTE #tribunal{0,1}
@ATTRIBUTE #limiting{0,1}
@ATTRIBUTE #accompanied{0,1}
@ATTRIBUTE #commercial{0,1}
@ATTRIBUTE #springeth{0,1}
@ATTRIBUTE #butterfly{0,1}
@ATTRIBUTE #seriousness{0,1}
@ATTRIBUTE #barrington{0,1}
@ATTRIBUTE #preliminary{0,1}
@ATTRIBUTE #viciously{0,1}
@ATTRIBUTE #nation{0,1}
@ATTRIBUTE #owned{0,1}
@ATTRIBUTE #collapsed{0,1}
@ATTRIBUTE #prone{0,1}
@ATTRIBUTE #bounds{0,1}
@ATTRIBUTE #suppression{0,1}
@ATTRIBUTE #afraid{0,1}
@ATTRIBUTE #county{0,1}
@ATTRIBUTE #tangled{0,1}
@ATTRIBUTE #delivering{0,1}
@ATTRIBUTE #enforce{0,1}
@ATTRIBUTE #passing{0,1}
@ATTRIBUTE #enforcement{0,1}
@ATTRIBUTE #ashdown{0,1}
@ATTRIBUTE #scope{0,1}
@ATTRIBUTE #satirist{0,1}
@ATTRIBUTE #undoubtedly{0,1}
@ATTRIBUTE #witty{0,1}
@ATTRIBUTE #influence{0,1}
@ATTRIBUTE #sutcliffe{0,1}
@ATTRIBUTE #affect{0,1}
@ATTRIBUTE #unprecedented{0,1}
@ATTRIBUTE #villiers{0,1}
@ATTRIBUTE #presentments{0,1}
@ATTRIBUTE #forthcoming{0,1}
@ATTRIBUTE #defer{0,1}
@ATTRIBUTE #distance{0,1}
@ATTRIBUTE #competing{0,1}
@ATTRIBUTE #hopeful{0,1}
@ATTRIBUTE #truth{0,1}
@ATTRIBUTE #won{0,1}
@ATTRIBUTE #giving{0,1}
@ATTRIBUTE #swayed{0,1}
@ATTRIBUTE #individuals{0,1}
@ATTRIBUTE #delivered{0,1}
@ATTRIBUTE #error{0,1}
@ATTRIBUTE #suspension{0,1}
@ATTRIBUTE #dire{0,1}
@ATTRIBUTE #pass{0,1}
@ATTRIBUTE #sit{0,1}
@ATTRIBUTE #superficial{0,1}
@ATTRIBUTE #gerrard{0,1}
@ATTRIBUTE #ordered{0,1}
@ATTRIBUTE #reminding{0,1}
@ATTRIBUTE #providence{0,1}

@DATA
00000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
