@RELATION lose.v


@ATTRIBUTE senses {0100000000, 0010000000, 0000100000, 0001000000, 0000001000, 0000000000, 0000000100, 0000010000}
@ATTRIBUTE #damaged{0,1}
@ATTRIBUTE #allegedly{0,1}
@ATTRIBUTE #complaining{0,1}
@ATTRIBUTE #risks{0,1}
@ATTRIBUTE #qualifying{0,1}
@ATTRIBUTE #breavman{0,1}
@ATTRIBUTE #determination{0,1}
@ATTRIBUTE #equipment{0,1}
@ATTRIBUTE #champions{0,1}
@ATTRIBUTE #tussle{0,1}
@ATTRIBUTE #impact{0,1}
@ATTRIBUTE #center{0,1}
@ATTRIBUTE #interest{0,1}
@ATTRIBUTE #inns{0,1}
@ATTRIBUTE #sets{0,1}
@ATTRIBUTE #republicans{0,1}
@ATTRIBUTE #glider{0,1}
@ATTRIBUTE #protestants{0,1}
@ATTRIBUTE #control{0,1}
@ATTRIBUTE #games{0,1}
@ATTRIBUTE #toughest{0,1}
@ATTRIBUTE #earthly{0,1}
@ATTRIBUTE #manifestations{0,1}
@ATTRIBUTE #heart{0,1}
@ATTRIBUTE #umbrella{0,1}
@ATTRIBUTE #bearings{0,1}
@ATTRIBUTE #momentum{0,1}
@ATTRIBUTE #papers{0,1}
@ATTRIBUTE #shape{0,1}
@ATTRIBUTE #armies{0,1}
@ATTRIBUTE #battle{0,1}
@ATTRIBUTE #touch{0,1}
@ATTRIBUTE #anger{0,1}
@ATTRIBUTE #prize{0,1}
@ATTRIBUTE #independence{0,1}
@ATTRIBUTE #fighting{0,1}
@ATTRIBUTE #irresponsible{0,1}
@ATTRIBUTE #battles{0,1}
@ATTRIBUTE #tuppen{0,1}
@ATTRIBUTE #atoms{0,1}
@ATTRIBUTE #rowland{0,1}
@ATTRIBUTE #practise{0,1}
@ATTRIBUTE #crown{0,1}
@ATTRIBUTE #lizzie{0,1}
@ATTRIBUTE #self{0,1}
@ATTRIBUTE #occurred{0,1}
@ATTRIBUTE #father{0,1}
@ATTRIBUTE #risk{0,1}
@ATTRIBUTE #officers{0,1}
@ATTRIBUTE #identity{0,1}
@ATTRIBUTE #sight{0,1}
@ATTRIBUTE #fifteen{0,1}
@ATTRIBUTE #ideology{0,1}
@ATTRIBUTE #starting{0,1}
@ATTRIBUTE #civil{0,1}
@ATTRIBUTE #favour{0,1}
@ATTRIBUTE #liberals{0,1}
@ATTRIBUTE #identifying{0,1}
@ATTRIBUTE #solitary{0,1}
@ATTRIBUTE #stood{0,1}
@ATTRIBUTE #enthusiasm{0,1}
@ATTRIBUTE #drifting{0,1}
@ATTRIBUTE #napoleon{0,1}
@ATTRIBUTE #responsible{0,1}
@ATTRIBUTE #faith{0,1}
@ATTRIBUTE #hut{0,1}
@ATTRIBUTE #excited{0,1}
@ATTRIBUTE #descent{0,1}
@ATTRIBUTE #abhorrence{0,1}
@ATTRIBUTE #mourning{0,1}
@ATTRIBUTE #liveliness{0,1}
@ATTRIBUTE #relationship{0,1}
@ATTRIBUTE #bouts{0,1}
@ATTRIBUTE #fragments{0,1}
@ATTRIBUTE #worried{0,1}
@ATTRIBUTE #club{0,1}
@ATTRIBUTE #besiegers{0,1}
@ATTRIBUTE #phrases{0,1}
@ATTRIBUTE #afford{0,1}

@DATA
0000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
