@RELATION mean.v


@ATTRIBUTE senses {00001000, 10000000, 00000100, 00100000, 00000001, 00000000, 01000000, 00010000}
@ATTRIBUTE #guts{0,1}
@ATTRIBUTE #reading{0,1}
@ATTRIBUTE #profession{0,1}
@ATTRIBUTE #function{0,1}
@ATTRIBUTE #heptonstall{0,1}
@ATTRIBUTE #expect{0,1}
@ATTRIBUTE #sabina{0,1}
@ATTRIBUTE #reduced{0,1}
@ATTRIBUTE #improvisation{0,1}
@ATTRIBUTE #buildings{0,1}
@ATTRIBUTE #patronizing{0,1}
@ATTRIBUTE #focus{0,1}
@ATTRIBUTE #unafraid{0,1}
@ATTRIBUTE #repetitive{0,1}
@ATTRIBUTE #oh{0,1}
@ATTRIBUTE #ban{0,1}
@ATTRIBUTE #text{0,1}
@ATTRIBUTE #wagner{0,1}
@ATTRIBUTE #stronger{0,1}
@ATTRIBUTE #doubt{0,1}
@ATTRIBUTE #belgium{0,1}
@ATTRIBUTE #truer{0,1}
@ATTRIBUTE #exciting{0,1}
@ATTRIBUTE #picture{0,1}
@ATTRIBUTE #sweet{0,1}
@ATTRIBUTE #characterise{0,1}
@ATTRIBUTE #interiors{0,1}
@ATTRIBUTE #davie{0,1}
@ATTRIBUTE #eastern{0,1}
@ATTRIBUTE #finals{0,1}
@ATTRIBUTE #press{0,1}
@ATTRIBUTE #killed{0,1}
@ATTRIBUTE #choice{0,1}
@ATTRIBUTE #agents{0,1}
@ATTRIBUTE #repeat{0,1}
@ATTRIBUTE #sight{0,1}
@ATTRIBUTE #deny{0,1}
@ATTRIBUTE #workload{0,1}
@ATTRIBUTE #students{0,1}
@ATTRIBUTE #ye{0,1}
@ATTRIBUTE #sympathise{0,1}
@ATTRIBUTE #paddy{0,1}
@ATTRIBUTE #separation{0,1}
@ATTRIBUTE #departure{0,1}
@ATTRIBUTE #productions{0,1}
@ATTRIBUTE #know{0,1}
@ATTRIBUTE #couples{0,1}
@ATTRIBUTE #myth{0,1}
@ATTRIBUTE #aids{0,1}
@ATTRIBUTE #buckley{0,1}
@ATTRIBUTE #represents{0,1}
@ATTRIBUTE #schedule{0,1}
@ATTRIBUTE #caring{0,1}
@ATTRIBUTE #arabella{0,1}
@ATTRIBUTE #amusingly{0,1}
@ATTRIBUTE #sugar{0,1}

@DATA
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
