@RELATION operate.v


@ATTRIBUTE senses {010000, 001000, 000000, 000001}
@ATTRIBUTE #dealers{0,1}
@ATTRIBUTE #periods{0,1}
@ATTRIBUTE #academics{0,1}
@ATTRIBUTE #reveal{0,1}
@ATTRIBUTE #link{0,1}
@ATTRIBUTE #tool{0,1}
@ATTRIBUTE #ministry{0,1}
@ATTRIBUTE #diagonally{0,1}
@ATTRIBUTE #transitional{0,1}
@ATTRIBUTE #perceived{0,1}
@ATTRIBUTE #funicular{0,1}
@ATTRIBUTE #relief{0,1}
@ATTRIBUTE #quota{0,1}
@ATTRIBUTE #gear{0,1}
@ATTRIBUTE #officer{0,1}
@ATTRIBUTE #battery{0,1}
@ATTRIBUTE #dimensions{0,1}
@ATTRIBUTE #pumps{0,1}
@ATTRIBUTE #fuel{0,1}
@ATTRIBUTE #syringe{0,1}
@ATTRIBUTE #lever{0,1}
@ATTRIBUTE #levers{0,1}
@ATTRIBUTE #appropriate{0,1}
@ATTRIBUTE #vertically{0,1}
@ATTRIBUTE #schemes{0,1}
@ATTRIBUTE #segregated{0,1}
@ATTRIBUTE #crack{0,1}
@ATTRIBUTE #pantograph{0,1}
@ATTRIBUTE #pump{0,1}
@ATTRIBUTE #blocks{0,1}
@ATTRIBUTE #forces{0,1}
@ATTRIBUTE #begin{0,1}
@ATTRIBUTE #gas{0,1}
@ATTRIBUTE #models{0,1}
@ATTRIBUTE #controllers{0,1}
@ATTRIBUTE #degree{0,1}
@ATTRIBUTE #prison{0,1}
@ATTRIBUTE #program{0,1}
@ATTRIBUTE #comfort{0,1}
@ATTRIBUTE #terraced{0,1}
@ATTRIBUTE #stiffer{0,1}
@ATTRIBUTE #handpulls{0,1}
@ATTRIBUTE #suction{0,1}
@ATTRIBUTE #unix{0,1}
@ATTRIBUTE #stomach{0,1}
@ATTRIBUTE #backstreet{0,1}

@DATA
001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
