@RELATION performance.n


@ATTRIBUTE sense {000010, 010001, 010010, 010000, 010100, 000100, 000110, 100000, 000101, 001010, 001000, 001100, 011000, 100100, 000000, 000001}
@ATTRIBUTE #high{0,1}
@ATTRIBUTE #most{0,1}
@ATTRIBUTE #first{0,1}
@ATTRIBUTE #improve{0,1}
@ATTRIBUTE #between{0,1}
@ATTRIBUTE #work{0,1}
@ATTRIBUTE #without{0,1}
@ATTRIBUTE #show{0,1}
@ATTRIBUTE #seen{0,1}
@ATTRIBUTE #outstanding{0,1}

@DATA
000000,0,0,0,0,0,0,0,0,0,1
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,1,0,0,1,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,1,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,1,0,0,0,0
000000,0,0,0,0,1,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,1,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,1,0,0,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,1,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,1,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,1,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,1,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,1,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,1,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,1,0,0,0,0,0
000000,1,0,0,0,0,0,0,0,0,0
000000,0,0,1,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,1,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
000000,0,0,0,0,0,0,0,0,0,0
