@RELATION plan.n


@ATTRIBUTE senses {0001, 0000, 0010, 1000, 0100}
@ATTRIBUTE #auction{0,1}
@ATTRIBUTE #involvement{0,1}
@ATTRIBUTE #store{0,1}
@ATTRIBUTE #lobby{0,1}
@ATTRIBUTE #bright{0,1}
@ATTRIBUTE #dahlias{0,1}
@ATTRIBUTE #threat{0,1}
@ATTRIBUTE #convoluted{0,1}
@ATTRIBUTE #pride{0,1}
@ATTRIBUTE #break{0,1}
@ATTRIBUTE #open{0,1}
@ATTRIBUTE #goldsmith{0,1}
@ATTRIBUTE #siting{0,1}
@ATTRIBUTE #dotty{0,1}
@ATTRIBUTE #rejected{0,1}
@ATTRIBUTE #buildings{0,1}
@ATTRIBUTE #border{0,1}
@ATTRIBUTE #submarine{0,1}
@ATTRIBUTE #instant{0,1}
@ATTRIBUTE #dunn{0,1}
@ATTRIBUTE #spending{0,1}
@ATTRIBUTE #samuel{0,1}
@ATTRIBUTE #ferranti{0,1}
@ATTRIBUTE #hill{0,1}
@ATTRIBUTE #creating{0,1}
@ATTRIBUTE #ring{0,1}
@ATTRIBUTE #estuary{0,1}
@ATTRIBUTE #liefmans{0,1}
@ATTRIBUTE #loo{0,1}
@ATTRIBUTE #achieving{0,1}
@ATTRIBUTE #adequate{0,1}
@ATTRIBUTE #housing{0,1}
@ATTRIBUTE #shattered{0,1}
@ATTRIBUTE #submitted{0,1}
@ATTRIBUTE #planting{0,1}
@ATTRIBUTE #faultless{0,1}
@ATTRIBUTE #prepare{0,1}
@ATTRIBUTE #regs{0,1}
@ATTRIBUTE #available{0,1}
@ATTRIBUTE #colin{0,1}
@ATTRIBUTE #strategic{0,1}
@ATTRIBUTE #nhs{0,1}
@ATTRIBUTE #ambitious{0,1}
@ATTRIBUTE #projects{0,1}
@ATTRIBUTE #announced{0,1}
@ATTRIBUTE #wendy{0,1}
@ATTRIBUTE #takeover{0,1}
@ATTRIBUTE #discuss{0,1}
@ATTRIBUTE #invading{0,1}
@ATTRIBUTE #contingency{0,1}
@ATTRIBUTE #impress{0,1}
@ATTRIBUTE #revealing{0,1}
@ATTRIBUTE #comment{0,1}
@ATTRIBUTE #abandon{0,1}
@ATTRIBUTE #nearby{0,1}
@ATTRIBUTE #mouldings{0,1}
@ATTRIBUTE #rebels{0,1}
@ATTRIBUTE #plans{0,1}
@ATTRIBUTE #du{0,1}
@ATTRIBUTE #raise{0,1}
@ATTRIBUTE #archives{0,1}
@ATTRIBUTE #next{0,1}
@ATTRIBUTE #votes{0,1}
@ATTRIBUTE #mentioned{0,1}
@ATTRIBUTE #warsaw{0,1}
@ATTRIBUTE #envisages{0,1}
@ATTRIBUTE #pose{0,1}
@ATTRIBUTE #remarkable{0,1}
@ATTRIBUTE #surrounding{0,1}
@ATTRIBUTE #viability{0,1}
@ATTRIBUTE #token{0,1}
@ATTRIBUTE #restructuring{0,1}
@ATTRIBUTE #examined{0,1}
@ATTRIBUTE #broadlands{0,1}
@ATTRIBUTE #extortion{0,1}
@ATTRIBUTE #ruins{0,1}
@ATTRIBUTE #india{0,1}
@ATTRIBUTE #opposed{0,1}
@ATTRIBUTE #sharpen{0,1}
@ATTRIBUTE #contrived{0,1}
@ATTRIBUTE #nec{0,1}
@ATTRIBUTE #radical{0,1}
@ATTRIBUTE #launched{0,1}
@ATTRIBUTE #nurses{0,1}
@ATTRIBUTE #jockey{0,1}
@ATTRIBUTE #foxley{0,1}
@ATTRIBUTE #waves{0,1}
@ATTRIBUTE #elevation{0,1}
@ATTRIBUTE #persistence{0,1}
@ATTRIBUTE #establish{0,1}
@ATTRIBUTE #slip{0,1}
@ATTRIBUTE #cater{0,1}
@ATTRIBUTE #gardens{0,1}
@ATTRIBUTE #redevelopment{0,1}
@ATTRIBUTE #meaning{0,1}
@ATTRIBUTE #bull{0,1}
@ATTRIBUTE #representatives{0,1}
@ATTRIBUTE #illustrate{0,1}
@ATTRIBUTE #rogich{0,1}
@ATTRIBUTE #sit{0,1}
@ATTRIBUTE #grabbed{0,1}
@ATTRIBUTE #dagenham{0,1}
@ATTRIBUTE #russia{0,1}
@ATTRIBUTE #bass{0,1}
@ATTRIBUTE #cables{0,1}
@ATTRIBUTE #proposal{0,1}
@ATTRIBUTE #unaware{0,1}
@ATTRIBUTE #strikes{0,1}
@ATTRIBUTE #garden{0,1}
@ATTRIBUTE #strongly{0,1}
@ATTRIBUTE #interior{0,1}
@ATTRIBUTE #unions{0,1}
@ATTRIBUTE #technology{0,1}
@ATTRIBUTE #second{0,1}
@ATTRIBUTE #designing{0,1}
@ATTRIBUTE #location{0,1}
@ATTRIBUTE #change{0,1}
@ATTRIBUTE #regulations{0,1}
@ATTRIBUTE #normal{0,1}
@ATTRIBUTE #bw{0,1}
@ATTRIBUTE #splitting{0,1}
@ATTRIBUTE #outright{0,1}
@ATTRIBUTE #accelerated{0,1}
@ATTRIBUTE #adopted{0,1}
@ATTRIBUTE #abortive{0,1}
@ATTRIBUTE #whereby{0,1}
@ATTRIBUTE #future{0,1}
@ATTRIBUTE #primary{0,1}
@ATTRIBUTE #proceed{0,1}
@ATTRIBUTE #spiky{0,1}
@ATTRIBUTE #evidently{0,1}
@ATTRIBUTE #follow{0,1}
@ATTRIBUTE #approve{0,1}
@ATTRIBUTE #elisabeth{0,1}
@ATTRIBUTE #unable{0,1}
@ATTRIBUTE #coup{0,1}
@ATTRIBUTE #stabilisation{0,1}
@ATTRIBUTE #malaysia{0,1}
@ATTRIBUTE #preliminary{0,1}
@ATTRIBUTE #double{0,1}
@ATTRIBUTE #league{0,1}
@ATTRIBUTE #finish{0,1}
@ATTRIBUTE #copies{0,1}
@ATTRIBUTE #arrangement{0,1}
@ATTRIBUTE #hiding{0,1}
@ATTRIBUTE #involving{0,1}
@ATTRIBUTE #lend{0,1}
@ATTRIBUTE #mary{0,1}
@ATTRIBUTE #unrealized{0,1}
@ATTRIBUTE #hope{0,1}
@ATTRIBUTE #shareholders{0,1}
@ATTRIBUTE #scale{0,1}
@ATTRIBUTE #expansion{0,1}
@ATTRIBUTE #outlined{0,1}
@ATTRIBUTE #prematurely{0,1}
@ATTRIBUTE #superintendent{0,1}
@ATTRIBUTE #outlines{0,1}
@ATTRIBUTE #shut{0,1}
@ATTRIBUTE #arenas{0,1}
@ATTRIBUTE #mounting{0,1}
@ATTRIBUTE #showing{0,1}
@ATTRIBUTE #thatchergate{0,1}
@ATTRIBUTE #maurier{0,1}
@ATTRIBUTE #exist{0,1}
@ATTRIBUTE #baker{0,1}
@ATTRIBUTE #projected{0,1}
@ATTRIBUTE #threatened{0,1}
@ATTRIBUTE #andrew{0,1}
@ATTRIBUTE #building{0,1}
@ATTRIBUTE #extend{0,1}
@ATTRIBUTE #hatching{0,1}
@ATTRIBUTE #fagan{0,1}
@ATTRIBUTE #finished{0,1}
@ATTRIBUTE #preconceived{0,1}
@ATTRIBUTE #robson{0,1}
@ATTRIBUTE #ludicrous{0,1}
@ATTRIBUTE #plan{0,1}
@ATTRIBUTE #football{0,1}
@ATTRIBUTE #decisive{0,1}
@ATTRIBUTE #term{0,1}
@ATTRIBUTE #peace{0,1}
@ATTRIBUTE #meeting{0,1}
@ATTRIBUTE #instalment{0,1}
@ATTRIBUTE #outlaw{0,1}
@ATTRIBUTE #step{0,1}
@ATTRIBUTE #demerger{0,1}

@DATA
0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
