@RELATION play.v


@ATTRIBUTE senses {0000000000100, 0010000000000, 0000000000010, 0100000000000, 0000000000000, 1000000000000, 0000100000000, 0000000000001, 0000010000000, 0000000001000, 0000000010000}
@ATTRIBUTE #profession{0,1}
@ATTRIBUTE #corners{0,1}
@ATTRIBUTE #parts{0,1}
@ATTRIBUTE #french{0,1}
@ATTRIBUTE #actor{0,1}
@ATTRIBUTE #production{0,1}
@ATTRIBUTE #evident{0,1}
@ATTRIBUTE #midnight{0,1}
@ATTRIBUTE #terry{0,1}
@ATTRIBUTE #essie{0,1}
@ATTRIBUTE #role{0,1}
@ATTRIBUTE #guile{0,1}
@ATTRIBUTE #dorothy{0,1}
@ATTRIBUTE #paints{0,1}
@ATTRIBUTE #comic{0,1}
@ATTRIBUTE #grass{0,1}
@ATTRIBUTE #cricket{0,1}
@ATTRIBUTE #career{0,1}
@ATTRIBUTE #prevent{0,1}
@ATTRIBUTE #hedda{0,1}
@ATTRIBUTE #teeth{0,1}
@ATTRIBUTE #shall{0,1}
@ATTRIBUTE #paradox{0,1}
@ATTRIBUTE #london{0,1}
@ATTRIBUTE #native{0,1}
@ATTRIBUTE #russian{0,1}
@ATTRIBUTE #leading{0,1}
@ATTRIBUTE #pastime{0,1}
@ATTRIBUTE #homecare{0,1}
@ATTRIBUTE #foully{0,1}
@ATTRIBUTE #indeed{0,1}
@ATTRIBUTE #tomorrow{0,1}
@ATTRIBUTE #marchbanks{0,1}
@ATTRIBUTE #bucket{0,1}
@ATTRIBUTE #hamlet{0,1}
@ATTRIBUTE #emigre{0,1}
@ATTRIBUTE #sixties{0,1}
@ATTRIBUTE #character{0,1}
@ATTRIBUTE #stops{0,1}
@ATTRIBUTE #guns{0,1}
@ATTRIBUTE #scenes{0,1}
@ATTRIBUTE #hermia{0,1}
@ATTRIBUTE #collections{0,1}
@ATTRIBUTE #safe{0,1}
@ATTRIBUTE #ideas{0,1}
@ATTRIBUTE #seventeen{0,1}
@ATTRIBUTE #n{0,1}
@ATTRIBUTE #lawyers{0,1}
@ATTRIBUTE #incessantly{0,1}
@ATTRIBUTE #unsuitable{0,1}
@ATTRIBUTE #burning{0,1}
@ATTRIBUTE #represents{0,1}
@ATTRIBUTE #jessica{0,1}
@ATTRIBUTE #cog{0,1}
@ATTRIBUTE #guitar{0,1}
@ATTRIBUTE #part{0,1}
@ATTRIBUTE #tour{0,1}
@ATTRIBUTE #frisbee{0,1}
@ATTRIBUTE #literally{0,1}
@ATTRIBUTE #hath{0,1}
@ATTRIBUTE #char{0,1}
@ATTRIBUTE #structural{0,1}
@ATTRIBUTE #ended{0,1}
@ATTRIBUTE #fortune{0,1}
@ATTRIBUTE #eligible{0,1}
@ATTRIBUTE #dreadful{0,1}
@ATTRIBUTE #chord{0,1}
@ATTRIBUTE #rogue{0,1}
@ATTRIBUTE #tottenham{0,1}
@ATTRIBUTE #mud{0,1}
@ATTRIBUTE #practically{0,1}
@ATTRIBUTE #tennis{0,1}
@ATTRIBUTE #tapes{0,1}
@ATTRIBUTE #bogarde{0,1}
@ATTRIBUTE #barefoot{0,1}
@ATTRIBUTE #eugene{0,1}
@ATTRIBUTE #imprisoned{0,1}
@ATTRIBUTE #verse{0,1}
@ATTRIBUTE #victim{0,1}
@ATTRIBUTE #refugee{0,1}
@ATTRIBUTE #kids{0,1}
@ATTRIBUTE #company{0,1}
@ATTRIBUTE #deborah{0,1}
@ATTRIBUTE #lear{0,1}
@ATTRIBUTE #defeat{0,1}
@ATTRIBUTE #scotland{0,1}
@ATTRIBUTE #allow{0,1}
@ATTRIBUTE #chess{0,1}
@ATTRIBUTE #children{0,1}
@ATTRIBUTE #hispanic{0,1}
@ATTRIBUTE #juliet{0,1}
@ATTRIBUTE #organization{0,1}
@ATTRIBUTE #forsaken{0,1}
@ATTRIBUTE #actors{0,1}
@ATTRIBUTE #demythologise{0,1}
@ATTRIBUTE #ophelia{0,1}
@ATTRIBUTE #playhouse{0,1}
@ATTRIBUTE #dil{0,1}
@ATTRIBUTE #sounds{0,1}
@ATTRIBUTE #chilterns{0,1}
@ATTRIBUTE #criticised{0,1}
@ATTRIBUTE #important{0,1}
@ATTRIBUTE #learnt{0,1}
@ATTRIBUTE #list{0,1}
@ATTRIBUTE #celia{0,1}
@ATTRIBUTE #pervasive{0,1}
@ATTRIBUTE #families{0,1}
@ATTRIBUTE #khadija{0,1}
@ATTRIBUTE #female{0,1}
@ATTRIBUTE #suited{0,1}
@ATTRIBUTE #anna{0,1}
@ATTRIBUTE #stratford{0,1}
@ATTRIBUTE #boy{0,1}

@DATA
0000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000000, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
