@RELATION provide.v


@ATTRIBUTE sense {0001000, 0110000, 0100000, 0000000, 0000010, 0010000}
@ATTRIBUTE #practical{0,1}
@ATTRIBUTE #care{0,1}
@ATTRIBUTE #support{0,1}
@ATTRIBUTE #information{0,1}
@ATTRIBUTE #service{0,1}
@ATTRIBUTE #services{0,1}
@ATTRIBUTE #help{0,1}
@ATTRIBUTE #family{0,1}
@ATTRIBUTE #evidence{0,1}
@ATTRIBUTE #advice{0,1}

@DATA
0000000,0,0,1,0,0,0,0,0,0,0
0000000,0,1,0,0,0,1,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,1,0,0,0,0,0,0,0,0
0000000,0,0,0,1,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,1,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,1,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,1,0
0000000,0,0,1,0,0,0,0,0,1,0
0000000,0,1,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,1,0,0,1,0,0,0,0,0,1
0000000,0,0,0,0,0,0,0,0,0,0
0000000,1,1,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,1,1,0,0,0,0,0,0,0,0
0000000,0,0,0,1,0,0,0,0,0,0
0000000,0,0,0,0,1,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,1,0,0,0,0,0,1,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,1,0,0,0
0000000,1,1,1,0,0,0,0,1,0,1
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,1,0,0,1,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,1,0,1,0,1,0,0,0,0,0
0000000,1,1,0,0,0,0,1,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,1,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,1,0,0,1
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,1,0,0,0
0000000,0,1,0,0,0,0,1,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,1,0,0,0,0,0
