@RELATION receive.v


@ATTRIBUTE sense {0100000000, 0000100000, 0010000000, 0000000000, 0000010000}
@ATTRIBUTE #letter{0,1}
@ATTRIBUTE #bill{0,1}
@ATTRIBUTE #letters{0,1}
@ATTRIBUTE #first{0,1}
@ATTRIBUTE #reply{0,1}
@ATTRIBUTE #interest{0,1}
@ATTRIBUTE #bank{0,1}
@ATTRIBUTE #If{0,1}
@ATTRIBUTE #year{0,1}
@ATTRIBUTE #society{0,1}
@ATTRIBUTE #sent{0,1}
@ATTRIBUTE #other{0,1}

@DATA
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,1,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,1,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,1,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,1,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,1,0,0,0,1,0
0000000000,0,0,1,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,1,1,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,1,0,0,0,1,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,1,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000,0,0,0,0,0,0,0,0,0,0,1,0
