@RELATION rule.v


@ATTRIBUTE senses {000010, 010000, 000000, 000001}
@ATTRIBUTE #hong{0,1}
@ATTRIBUTE #vires{0,1}
@ATTRIBUTE #william{0,1}
@ATTRIBUTE #transactions{0,1}
@ATTRIBUTE #hearings{0,1}
@ATTRIBUTE #congress{0,1}
@ATTRIBUTE #terror{0,1}
@ATTRIBUTE #rights{0,1}
@ATTRIBUTE #court{0,1}
@ATTRIBUTE #kong{0,1}
@ATTRIBUTE #dock{0,1}
@ATTRIBUTE #beyond{0,1}
@ATTRIBUTE #pakistan{0,1}
@ATTRIBUTE #wanting{0,1}
@ATTRIBUTE #lunches{0,1}
@ATTRIBUTE #composition{0,1}
@ATTRIBUTE #marcos{0,1}
@ATTRIBUTE #right{0,1}
@ATTRIBUTE #gujarat{0,1}
@ATTRIBUTE #majority{0,1}
@ATTRIBUTE #guilty{0,1}
@ATTRIBUTE #kr{0,1}
@ATTRIBUTE #polises{0,1}
@ATTRIBUTE #country{0,1}
@ATTRIBUTE #justices{0,1}
@ATTRIBUTE #hoffmann{0,1}
@ATTRIBUTE #independence{0,1}
@ATTRIBUTE #previously{0,1}
@ATTRIBUTE #gojkovic{0,1}
@ATTRIBUTE #streets{0,1}
@ATTRIBUTE #case{0,1}
@ATTRIBUTE #philippines{0,1}
@ATTRIBUTE #manchester{0,1}
@ATTRIBUTE #russell{0,1}
@ATTRIBUTE #justice{0,1}
@ATTRIBUTE #phoenicians{0,1}
@ATTRIBUTE #territory{0,1}
@ATTRIBUTE #packed{0,1}
@ATTRIBUTE #crown{0,1}
@ATTRIBUTE #department{0,1}
@ATTRIBUTE #courts{0,1}
@ATTRIBUTE #pounds{0,1}
@ATTRIBUTE #consequently{0,1}
@ATTRIBUTE #plea{0,1}
@ATTRIBUTE #eclecticism{0,1}
@ATTRIBUTE #noriega{0,1}
@ATTRIBUTE #judge{0,1}
@ATTRIBUTE #civil{0,1}
@ATTRIBUTE #arbiters{0,1}
@ATTRIBUTE #ultra{0,1}
@ATTRIBUTE #favour{0,1}
@ATTRIBUTE #africa{0,1}
@ATTRIBUTE #pragmatism{0,1}
@ATTRIBUTE #bonn{0,1}
@ATTRIBUTE #rape{0,1}
@ATTRIBUTE #strasbourg{0,1}
@ATTRIBUTE #campbell{0,1}
@ATTRIBUTE #objection{0,1}
@ATTRIBUTE #clock{0,1}
@ATTRIBUTE #judges{0,1}
@ATTRIBUTE #illegal{0,1}
@ATTRIBUTE #taiwan{0,1}
@ATTRIBUTE #extradition{0,1}
@ATTRIBUTE #censure{0,1}
@ATTRIBUTE #hell{0,1}
@ATTRIBUTE #void{0,1}
@ATTRIBUTE #hour{0,1}
@ATTRIBUTE #deals{0,1}
@ATTRIBUTE #donaldson{0,1}
@ATTRIBUTE #general{0,1}
@ATTRIBUTE #ambition{0,1}
@ATTRIBUTE #bankers{0,1}
@ATTRIBUTE #panama{0,1}
@ATTRIBUTE #democrats{0,1}
@ATTRIBUTE #charge{0,1}
@ATTRIBUTE #hurd{0,1}
@ATTRIBUTE #south{0,1}
@ATTRIBUTE #strikes{0,1}
@ATTRIBUTE #laid{0,1}
@ATTRIBUTE #namibia{0,1}
@ATTRIBUTE #britain{0,1}

@DATA
000000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
000010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
