@RELATION simple.a


@ATTRIBUTE sense {00110000, 00000100, 00100000, 00000001, 00100100, 00010000}
@ATTRIBUTE #schools{0,1}
@ATTRIBUTE #quite{0,1}
@ATTRIBUTE #work{0,1}
@ATTRIBUTE #training{0,1}
@ATTRIBUTE #something{0,1}
@ATTRIBUTE #revenge{0,1}
@ATTRIBUTE #pure{0,1}
@ATTRIBUTE #plain{0,1}
@ATTRIBUTE #number{0,1}
@ATTRIBUTE #elements{0,1}
@ATTRIBUTE #covenant{0,1}
@ATTRIBUTE #beer{0,1}

@DATA
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,1
00000000,0,1,0,0,0,0,0,0,0,0,1,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
00000000,0,0,0,0,0,0,0,0,0,0,0,0
