@RELATION use.v


@ATTRIBUTE senses {000010, 010000, 000000, 000001}
@ATTRIBUTE #gift{0,1}
@ATTRIBUTE #caution{0,1}
@ATTRIBUTE #halo{0,1}
@ATTRIBUTE #monographs{0,1}
@ATTRIBUTE #jeff{0,1}
@ATTRIBUTE #aid{0,1}
@ATTRIBUTE #childrens{0,1}
@ATTRIBUTE #interchangeably{0,1}
@ATTRIBUTE #antics{0,1}
@ATTRIBUTE #patricia{0,1}
@ATTRIBUTE #symbolize{0,1}
@ATTRIBUTE #painters{0,1}
@ATTRIBUTE #cunning{0,1}
@ATTRIBUTE #phrase{0,1}
@ATTRIBUTE #rule{0,1}
@ATTRIBUTE #statements{0,1}
@ATTRIBUTE #condom{0,1}
@ATTRIBUTE #painter{0,1}
@ATTRIBUTE #wording{0,1}
@ATTRIBUTE #expository{0,1}
@ATTRIBUTE #hero{0,1}
@ATTRIBUTE #imagine{0,1}
@ATTRIBUTE #wlflinn{0,1}
@ATTRIBUTE #drugs{0,1}
@ATTRIBUTE #heinrich{0,1}
@ATTRIBUTE #amoral{0,1}
@ATTRIBUTE #awkward{0,1}
@ATTRIBUTE #means{0,1}
@ATTRIBUTE #pneumocystis{0,1}
@ATTRIBUTE #obliged{0,1}
@ATTRIBUTE #describing{0,1}
@ATTRIBUTE #historian{0,1}
@ATTRIBUTE #anne{0,1}
@ATTRIBUTE #pneumonia{0,1}
@ATTRIBUTE #worry{0,1}
@ATTRIBUTE #legacy{0,1}

@DATA
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
