@RELATION wash.v


@ATTRIBUTE senses {0001000000000, 0000001000000, 0000000000100, 0010000000000, 0000000100000, 0100000000000, 0000000000000, 1000000000000, 0000100000000, 0000000000001, 0000000010000}
@ATTRIBUTE #dish{0,1}
@ATTRIBUTE #afterwards{0,1}
@ATTRIBUTE #careful{0,1}
@ATTRIBUTE #bloodstained{0,1}
@ATTRIBUTE #fried{0,1}
@ATTRIBUTE #bathroom{0,1}
@ATTRIBUTE #sailor{0,1}
@ATTRIBUTE #dot{0,1}
@ATTRIBUTE #gear{0,1}
@ATTRIBUTE #dried{0,1}
@ATTRIBUTE #nurse{0,1}
@ATTRIBUTE #milk{0,1}
@ATTRIBUTE #shirt{0,1}
@ATTRIBUTE #hygiene{0,1}
@ATTRIBUTE #tidy{0,1}
@ATTRIBUTE #clothes{0,1}
@ATTRIBUTE #revenues{0,1}
@ATTRIBUTE #plate{0,1}
@ATTRIBUTE #towelled{0,1}
@ATTRIBUTE #duff{0,1}
@ATTRIBUTE #effort{0,1}
@ATTRIBUTE #tyres{0,1}
@ATTRIBUTE #sink{0,1}
@ATTRIBUTE #draining{0,1}
@ATTRIBUTE #board{0,1}
@ATTRIBUTE #floor{0,1}
@ATTRIBUTE #doing{0,1}
@ATTRIBUTE #ought{0,1}
@ATTRIBUTE #example{0,1}
@ATTRIBUTE #shaving{0,1}
@ATTRIBUTE #stream{0,1}
@ATTRIBUTE #carefully{0,1}
@ATTRIBUTE #stayed{0,1}
@ATTRIBUTE #combustion{0,1}
@ATTRIBUTE #mouths{0,1}
@ATTRIBUTE #sprung{0,1}
@ATTRIBUTE #massage{0,1}
@ATTRIBUTE #sausages{0,1}
@ATTRIBUTE #ramsey{0,1}
@ATTRIBUTE #chiselled{0,1}
@ATTRIBUTE #hands{0,1}
@ATTRIBUTE #eaten{0,1}
@ATTRIBUTE #dirty{0,1}
@ATTRIBUTE #ashore{0,1}
@ATTRIBUTE #hair{0,1}
@ATTRIBUTE #scree{0,1}
@ATTRIBUTE #solids{0,1}
@ATTRIBUTE #jacket{0,1}
@ATTRIBUTE #cleaning{0,1}
@ATTRIBUTE #udder{0,1}
@ATTRIBUTE #dressed{0,1}
@ATTRIBUTE #visage{0,1}
@ATTRIBUTE #sweeps{0,1}
@ATTRIBUTE #shipwrecked{0,1}
@ATTRIBUTE #starts{0,1}
@ATTRIBUTE #dishes{0,1}
@ATTRIBUTE #erika{0,1}
@ATTRIBUTE #accompany{0,1}
@ATTRIBUTE #down{0,1}
@ATTRIBUTE #tidied{0,1}

@DATA
0000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0
0100000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
0000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
