@RELATION watch.v


@ATTRIBUTE senses {00001000, 00000100, 00100000, 00000010, 00000001, 00000000, 01000000}
@ATTRIBUTE #olds{0,1}
@ATTRIBUTE #congregation{0,1}
@ATTRIBUTE #fight{0,1}
@ATTRIBUTE #blossoming{0,1}
@ATTRIBUTE #storm{0,1}
@ATTRIBUTE #birds{0,1}
@ATTRIBUTE #float{0,1}
@ATTRIBUTE #eyes{0,1}
@ATTRIBUTE #mile{0,1}
@ATTRIBUTE #weather{0,1}
@ATTRIBUTE #sail{0,1}
@ATTRIBUTE #worldwide{0,1}
@ATTRIBUTE #assembled{0,1}
@ATTRIBUTE #chilean{0,1}
@ATTRIBUTE #pacing{0,1}
@ATTRIBUTE #accelerate{0,1}
@ATTRIBUTE #nigel{0,1}
@ATTRIBUTE #newcastle{0,1}
@ATTRIBUTE #calcavecchia{0,1}
@ATTRIBUTE #servants{0,1}
@ATTRIBUTE #entertaining{0,1}
@ATTRIBUTE #clubroot{0,1}
@ATTRIBUTE #sat{0,1}
@ATTRIBUTE #scrape{0,1}
@ATTRIBUTE #owl{0,1}
@ATTRIBUTE #cafe{0,1}
@ATTRIBUTE #hot{0,1}
@ATTRIBUTE #lines{0,1}
@ATTRIBUTE #geraldine{0,1}
@ATTRIBUTE #records{0,1}
@ATTRIBUTE #instruments{0,1}
@ATTRIBUTE #getting{0,1}
@ATTRIBUTE #scattered{0,1}
@ATTRIBUTE #gods{0,1}
@ATTRIBUTE #swimsuit{0,1}
@ATTRIBUTE #tendency{0,1}
@ATTRIBUTE #puppet{0,1}
@ATTRIBUTE #bath{0,1}
@ATTRIBUTE #suits{0,1}
@ATTRIBUTE #golf{0,1}
@ATTRIBUTE #wormed{0,1}
@ATTRIBUTE #clouds{0,1}
@ATTRIBUTE #viewers{0,1}
@ATTRIBUTE #diamonds{0,1}
@ATTRIBUTE #wipe{0,1}
@ATTRIBUTE #rinse{0,1}
@ATTRIBUTE #blush{0,1}
@ATTRIBUTE #struggling{0,1}
@ATTRIBUTE #chair{0,1}
@ATTRIBUTE #chocolate{0,1}
@ATTRIBUTE #pilots{0,1}
@ATTRIBUTE #shuffle{0,1}
@ATTRIBUTE #sunset{0,1}
@ATTRIBUTE #tv{0,1}
@ATTRIBUTE #groom{0,1}
@ATTRIBUTE #annabel{0,1}
@ATTRIBUTE #frowned{0,1}
@ATTRIBUTE #penrice{0,1}
@ATTRIBUTE #tragedy{0,1}
@ATTRIBUTE #insects{0,1}
@ATTRIBUTE #owls{0,1}
@ATTRIBUTE #summerhouse{0,1}
@ATTRIBUTE #dismay{0,1}
@ATTRIBUTE #sky{0,1}
@ATTRIBUTE #unison{0,1}
@ATTRIBUTE #bush{0,1}
@ATTRIBUTE #train{0,1}
@ATTRIBUTE #saturday{0,1}
@ATTRIBUTE #nostalgic{0,1}
@ATTRIBUTE #assessed{0,1}
@ATTRIBUTE #eye{0,1}
@ATTRIBUTE #osprey{0,1}
@ATTRIBUTE #bed{0,1}
@ATTRIBUTE #kids{0,1}
@ATTRIBUTE #listening{0,1}
@ATTRIBUTE #evolving{0,1}
@ATTRIBUTE #moments{0,1}
@ATTRIBUTE #drain{0,1}
@ATTRIBUTE #telly{0,1}
@ATTRIBUTE #inaugural{0,1}
@ATTRIBUTE #rocastle{0,1}
@ATTRIBUTE #scouts{0,1}
@ATTRIBUTE #indecisive{0,1}
@ATTRIBUTE #womenfolk{0,1}
@ATTRIBUTE #clumsy{0,1}
@ATTRIBUTE #prefer{0,1}
@ATTRIBUTE #ideological{0,1}
@ATTRIBUTE #golden{0,1}
@ATTRIBUTE #pound{0,1}
@ATTRIBUTE #swirling{0,1}
@ATTRIBUTE #ride{0,1}
@ATTRIBUTE #toe{0,1}
@ATTRIBUTE #reflection{0,1}
@ATTRIBUTE #youngster{0,1}
@ATTRIBUTE #blast{0,1}
@ATTRIBUTE #daddy{0,1}
@ATTRIBUTE #harbour{0,1}
@ATTRIBUTE #towplane{0,1}
@ATTRIBUTE #sofa{0,1}
@ATTRIBUTE #fond{0,1}
@ATTRIBUTE #crouching{0,1}
@ATTRIBUTE #implications{0,1}
@ATTRIBUTE #ronnies{0,1}
@ATTRIBUTE #rocks{0,1}
@ATTRIBUTE #nightlife{0,1}
@ATTRIBUTE #girls{0,1}
@ATTRIBUTE #actively{0,1}
@ATTRIBUTE #fizzle{0,1}
@ATTRIBUTE #criticised{0,1}
@ATTRIBUTE #stadhuis{0,1}
@ATTRIBUTE #ax{0,1}
@ATTRIBUTE #intrigued{0,1}
@ATTRIBUTE #robson{0,1}
@ATTRIBUTE #pass{0,1}
@ATTRIBUTE #fitted{0,1}
@ATTRIBUTE #meals{0,1}
@ATTRIBUTE #michael{0,1}
@ATTRIBUTE #hostel{0,1}
@ATTRIBUTE #snags{0,1}
@ATTRIBUTE #night{0,1}
@ATTRIBUTE #leaned{0,1}

@DATA
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000000, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
