@RELATION write.v


@ATTRIBUTE senses {000000000, 000001000, 000000001, 001000000, 000100000, 000000010}
@ATTRIBUTE #memoirs{0,1}
@ATTRIBUTE #baroque{0,1}
@ATTRIBUTE #abd{0,1}
@ATTRIBUTE #francesco{0,1}
@ATTRIBUTE #renaissance{0,1}
@ATTRIBUTE #gonzaga{0,1}
@ATTRIBUTE #stein{0,1}
@ATTRIBUTE #mast{0,1}
@ATTRIBUTE #preface{0,1}
@ATTRIBUTE #sections{0,1}
@ATTRIBUTE #sky{0,1}
@ATTRIBUTE #please{0,1}
@ATTRIBUTE #poems{0,1}
@ATTRIBUTE #appealing{0,1}
@ATTRIBUTE #improvisation{0,1}
@ATTRIBUTE #autobiography{0,1}
@ATTRIBUTE #raisonn{0,1}
@ATTRIBUTE #catalogue{0,1}
@ATTRIBUTE #association{0,1}
@ATTRIBUTE #wlflinn{0,1}
@ATTRIBUTE #al{0,1}
@ATTRIBUTE #persuaded{0,1}
@ATTRIBUTE #shelley{0,1}
@ATTRIBUTE #gertrude{0,1}
@ATTRIBUTE #planning{0,1}
@ATTRIBUTE #book{0,1}
@ATTRIBUTE #thin{0,1}
@ATTRIBUTE #telephone{0,1}
@ATTRIBUTE #letters{0,1}
@ATTRIBUTE #courteous{0,1}
@ATTRIBUTE #scholar{0,1}

@DATA
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
