@RELATION appear.v


@ATTRIBUTE sense {0001, 0000, 0010, 0110, 0101, 1100, 0100}
@ATTRIBUTE #first{0,1}
@ATTRIBUTE #time{0,1}
@ATTRIBUTE #work{0,1}
@ATTRIBUTE #word{0,1}
@ATTRIBUTE #name{0,1}
@ATTRIBUTE #might{0,1}
@ATTRIBUTE #main{0,1}
@ATTRIBUTE #life{0,1}
@ATTRIBUTE #issue{0,1}
@ATTRIBUTE #dancers{0,1}

@DATA
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,1,0,0
0000,0,0,0,0,0,0,0,0,1,0
0000,0,0,0,0,0,1,0,1,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,1,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,1,0
0000,0,0,0,0,0,0,0,1,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,1
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,1
0000,0,0,1,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,1,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,1,0,0,0,1,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,1,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,1,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,1,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,1,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,1,1,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,1,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,1
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,1,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,1,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,1,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,1
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,1,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,1,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,1,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,1,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,1
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
