@RELATION ask.v


@ATTRIBUTE senses {0001000, 0100000, 0000100, 0000000, 0000001, 1000000, 0000010, 0010000}
@ATTRIBUTE #nobody{0,1}
@ATTRIBUTE #birth{0,1}
@ATTRIBUTE #instructor{0,1}
@ATTRIBUTE #progressives{0,1}
@ATTRIBUTE #tentatively{0,1}
@ATTRIBUTE #fight{0,1}
@ATTRIBUTE #spy{0,1}
@ATTRIBUTE #eames{0,1}
@ATTRIBUTE #jeff{0,1}
@ATTRIBUTE #camden{0,1}
@ATTRIBUTE #organizers{0,1}
@ATTRIBUTE #roth{0,1}
@ATTRIBUTE #jenny{0,1}
@ATTRIBUTE #languages{0,1}
@ATTRIBUTE #ethel{0,1}
@ATTRIBUTE #sheriff{0,1}
@ATTRIBUTE #sewer{0,1}
@ATTRIBUTE #spouse{0,1}
@ATTRIBUTE #sears{0,1}
@ATTRIBUTE #yourself{0,1}
@ATTRIBUTE #dionne{0,1}
@ATTRIBUTE #ignoring{0,1}
@ATTRIBUTE #choose{0,1}
@ATTRIBUTE #alone{0,1}
@ATTRIBUTE #kundera{0,1}
@ATTRIBUTE #rude{0,1}
@ATTRIBUTE #services{0,1}
@ATTRIBUTE #constabulary{0,1}
@ATTRIBUTE #wishes{0,1}
@ATTRIBUTE #compare{0,1}
@ATTRIBUTE #demonstrated{0,1}
@ATTRIBUTE #questions{0,1}
@ATTRIBUTE #health{0,1}
@ATTRIBUTE #director{0,1}
@ATTRIBUTE #inclined{0,1}
@ATTRIBUTE #gardener{0,1}
@ATTRIBUTE #supper{0,1}
@ATTRIBUTE #comment{0,1}
@ATTRIBUTE #computer{0,1}
@ATTRIBUTE #hesitate{0,1}
@ATTRIBUTE #irrepressible{0,1}
@ATTRIBUTE #memo{0,1}
@ATTRIBUTE #remove{0,1}
@ATTRIBUTE #amnesty{0,1}
@ATTRIBUTE #justify{0,1}
@ATTRIBUTE #daughter{0,1}
@ATTRIBUTE #smoothing{0,1}
@ATTRIBUTE #boiled{0,1}
@ATTRIBUTE #menzies{0,1}
@ATTRIBUTE #desk{0,1}
@ATTRIBUTE #date{0,1}
@ATTRIBUTE #haired{0,1}
@ATTRIBUTE #percy{0,1}
@ATTRIBUTE #closer{0,1}
@ATTRIBUTE #authority{0,1}
@ATTRIBUTE #realised{0,1}
@ATTRIBUTE #pawsey{0,1}
@ATTRIBUTE #endless{0,1}
@ATTRIBUTE #grey{0,1}
@ATTRIBUTE #mind{0,1}
@ATTRIBUTE #baby{0,1}
@ATTRIBUTE #yardley{0,1}
@ATTRIBUTE #note{0,1}
@ATTRIBUTE #kept{0,1}
@ATTRIBUTE #usual{0,1}
@ATTRIBUTE #huffed{0,1}
@ATTRIBUTE #policeman{0,1}
@ATTRIBUTE #tone{0,1}
@ATTRIBUTE #anxiety{0,1}
@ATTRIBUTE #unpleasantly{0,1}
@ATTRIBUTE #leo{0,1}
@ATTRIBUTE #speak{0,1}
@ATTRIBUTE #goldberg{0,1}
@ATTRIBUTE #operator{0,1}
@ATTRIBUTE #visitor{0,1}
@ATTRIBUTE #memoir{0,1}
@ATTRIBUTE #headmaster{0,1}
@ATTRIBUTE #independent{0,1}
@ATTRIBUTE #peggy{0,1}
@ATTRIBUTE #sir{0,1}
@ATTRIBUTE #clue{0,1}
@ATTRIBUTE #nose{0,1}
@ATTRIBUTE #muir{0,1}
@ATTRIBUTE #sharon{0,1}
@ATTRIBUTE #shop{0,1}
@ATTRIBUTE #quince{0,1}
@ATTRIBUTE #colchester{0,1}
@ATTRIBUTE #jackie{0,1}
@ATTRIBUTE #firms{0,1}
@ATTRIBUTE #cutlery{0,1}
@ATTRIBUTE #pityingly{0,1}
@ATTRIBUTE #outright{0,1}
@ATTRIBUTE #byers{0,1}
@ATTRIBUTE #coaches{0,1}
@ATTRIBUTE #doctor{0,1}
@ATTRIBUTE #audition{0,1}
@ATTRIBUTE #pause{0,1}
@ATTRIBUTE #medical{0,1}
@ATTRIBUTE #ken{0,1}
@ATTRIBUTE #phrase{0,1}
@ATTRIBUTE #sets{0,1}
@ATTRIBUTE #innocently{0,1}
@ATTRIBUTE #survey{0,1}
@ATTRIBUTE #duke{0,1}
@ATTRIBUTE #philip{0,1}
@ATTRIBUTE #spence{0,1}
@ATTRIBUTE #popped{0,1}
@ATTRIBUTE #colm{0,1}
@ATTRIBUTE #arrangements{0,1}
@ATTRIBUTE #smiling{0,1}
@ATTRIBUTE #eye{0,1}
@ATTRIBUTE #gloaming{0,1}
@ATTRIBUTE #shifts{0,1}
@ATTRIBUTE #criticise{0,1}
@ATTRIBUTE #madge{0,1}
@ATTRIBUTE #tenants{0,1}
@ATTRIBUTE #permission{0,1}
@ATTRIBUTE #james{0,1}
@ATTRIBUTE #dinner{0,1}
@ATTRIBUTE #sign{0,1}
@ATTRIBUTE #ackroyd{0,1}
@ATTRIBUTE #challenged{0,1}
@ATTRIBUTE #tourist{0,1}
@ATTRIBUTE #paul{0,1}
@ATTRIBUTE #names{0,1}
@ATTRIBUTE #awkwardly{0,1}
@ATTRIBUTE #flattered{0,1}
@ATTRIBUTE #marcus{0,1}
@ATTRIBUTE #pitch{0,1}
@ATTRIBUTE #panel{0,1}
@ATTRIBUTE #queneau{0,1}
@ATTRIBUTE #appreciate{0,1}
@ATTRIBUTE #katrina{0,1}
@ATTRIBUTE #carefully{0,1}
@ATTRIBUTE #testers{0,1}
@ATTRIBUTE #devils{0,1}
@ATTRIBUTE #tube{0,1}
@ATTRIBUTE #agents{0,1}
@ATTRIBUTE #promotion{0,1}
@ATTRIBUTE #employer{0,1}
@ATTRIBUTE #marion{0,1}
@ATTRIBUTE #roger{0,1}
@ATTRIBUTE #financially{0,1}
@ATTRIBUTE #minute{0,1}
@ATTRIBUTE #liberty{0,1}
@ATTRIBUTE #staff{0,1}
@ATTRIBUTE #scarcely{0,1}
@ATTRIBUTE #henry{0,1}
@ATTRIBUTE #participate{0,1}
@ATTRIBUTE #hush{0,1}
@ATTRIBUTE #practised{0,1}
@ATTRIBUTE #sternly{0,1}
@ATTRIBUTE #tolstoy{0,1}
@ATTRIBUTE #receptionist{0,1}
@ATTRIBUTE #obviously{0,1}
@ATTRIBUTE #haue{0,1}
@ATTRIBUTE #soberly{0,1}
@ATTRIBUTE #counter{0,1}
@ATTRIBUTE #clancy{0,1}
@ATTRIBUTE #stressed{0,1}
@ATTRIBUTE #bramble{0,1}
@ATTRIBUTE #reception{0,1}
@ATTRIBUTE #royal{0,1}
@ATTRIBUTE #grow{0,1}
@ATTRIBUTE #tiresome{0,1}
@ATTRIBUTE #flustered{0,1}
@ATTRIBUTE #timely{0,1}
@ATTRIBUTE #numerical{0,1}
@ATTRIBUTE #arabella{0,1}
@ATTRIBUTE #assume{0,1}
@ATTRIBUTE #themselves{0,1}

@DATA
0000001, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
