@RELATION different.a


@ATTRIBUTE senses {000010, 010000, 001000, 000100, 000000, 100000, 000001}
@ATTRIBUTE #sizes{0,1}
@ATTRIBUTE #methods{0,1}
@ATTRIBUTE #periods{0,1}
@ATTRIBUTE #reading{0,1}
@ATTRIBUTE #cause{0,1}
@ATTRIBUTE #appearance{0,1}
@ATTRIBUTE #visible{0,1}
@ATTRIBUTE #half{0,1}
@ATTRIBUTE #multiplicity{0,1}
@ATTRIBUTE #dulcimers{0,1}
@ATTRIBUTE #genuinely{0,1}
@ATTRIBUTE #related{0,1}
@ATTRIBUTE #angles{0,1}
@ATTRIBUTE #story{0,1}
@ATTRIBUTE #limiting{0,1}
@ATTRIBUTE #wonder{0,1}
@ATTRIBUTE #processing{0,1}
@ATTRIBUTE #compositions{0,1}
@ATTRIBUTE #efficients{0,1}
@ATTRIBUTE #aims{0,1}
@ATTRIBUTE #dare{0,1}
@ATTRIBUTE #competence{0,1}
@ATTRIBUTE #combining{0,1}
@ATTRIBUTE #services{0,1}
@ATTRIBUTE #problems{0,1}
@ATTRIBUTE #canada{0,1}
@ATTRIBUTE #status{0,1}
@ATTRIBUTE #kinds{0,1}
@ATTRIBUTE #possibility{0,1}
@ATTRIBUTE #styles{0,1}
@ATTRIBUTE #journey{0,1}
@ATTRIBUTE #heights{0,1}
@ATTRIBUTE #number{0,1}
@ATTRIBUTE #models{0,1}
@ATTRIBUTE #phases{0,1}
@ATTRIBUTE #images{0,1}
@ATTRIBUTE #components{0,1}
@ATTRIBUTE #compensate{0,1}
@ATTRIBUTE #culture{0,1}
@ATTRIBUTE #ways{0,1}
@ATTRIBUTE #scotland{0,1}
@ATTRIBUTE #fashion{0,1}
@ATTRIBUTE #scattered{0,1}
@ATTRIBUTE #carefully{0,1}
@ATTRIBUTE #recurred{0,1}
@ATTRIBUTE #dominated{0,1}
@ATTRIBUTE #existing{0,1}
@ATTRIBUTE #aspects{0,1}
@ATTRIBUTE #lengths{0,1}
@ATTRIBUTE #limitations{0,1}
@ATTRIBUTE #departments{0,1}
@ATTRIBUTE #contraceptive{0,1}
@ATTRIBUTE #adapt{0,1}
@ATTRIBUTE #worlds{0,1}
@ATTRIBUTE #volumes{0,1}
@ATTRIBUTE #reasons{0,1}
@ATTRIBUTE #endogenous{0,1}
@ATTRIBUTE #ranging{0,1}
@ATTRIBUTE #met{0,1}
@ATTRIBUTE #adventure{0,1}
@ATTRIBUTE #slightly{0,1}
@ATTRIBUTE #fix{0,1}
@ATTRIBUTE #perceptions{0,1}
@ATTRIBUTE #possess{0,1}
@ATTRIBUTE #modes{0,1}
@ATTRIBUTE #materialist{0,1}
@ATTRIBUTE #products{0,1}
@ATTRIBUTE #ensure{0,1}
@ATTRIBUTE #sites{0,1}
@ATTRIBUTE #unfortunately{0,1}
@ATTRIBUTE #vapours{0,1}
@ATTRIBUTE #decoration{0,1}
@ATTRIBUTE #dozen{0,1}
@ATTRIBUTE #variety{0,1}
@ATTRIBUTE #tasted{0,1}
@ATTRIBUTE #utterly{0,1}
@ATTRIBUTE #publication{0,1}
@ATTRIBUTE #yes{0,1}
@ATTRIBUTE #positions{0,1}
@ATTRIBUTE #topics{0,1}
@ATTRIBUTE #enquiry{0,1}
@ATTRIBUTE #viewpoints{0,1}
@ATTRIBUTE #speeches{0,1}
@ATTRIBUTE #successfully{0,1}
@ATTRIBUTE #falls{0,1}
@ATTRIBUTE #suit{0,1}
@ATTRIBUTE #artistic{0,1}
@ATTRIBUTE #account{0,1}
@ATTRIBUTE #breadboard{0,1}
@ATTRIBUTE #attack{0,1}
@ATTRIBUTE #novels{0,1}
@ATTRIBUTE #garden{0,1}
@ATTRIBUTE #handles{0,1}
@ATTRIBUTE #advance{0,1}
@ATTRIBUTE #fraser{0,1}

@DATA
000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
000001, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000001, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000001, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000001, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
