@RELATION encounter.v


@ATTRIBUTE senses {00000, 00001, 01000, 00010, 00100}
@ATTRIBUTE #dye{0,1}
@ATTRIBUTE #enlightened{0,1}
@ATTRIBUTE #lower{0,1}
@ATTRIBUTE #romeo{0,1}
@ATTRIBUTE #straits{0,1}
@ATTRIBUTE #ruined{0,1}
@ATTRIBUTE #doon{0,1}
@ATTRIBUTE #theist{0,1}
@ATTRIBUTE #wanderlust{0,1}
@ATTRIBUTE #passengers{0,1}
@ATTRIBUTE #patrols{0,1}
@ATTRIBUTE #awesome{0,1}
@ATTRIBUTE #briefly{0,1}
@ATTRIBUTE #sales{0,1}
@ATTRIBUTE #vehicles{0,1}
@ATTRIBUTE #ordinary{0,1}
@ATTRIBUTE #sour{0,1}
@ATTRIBUTE #debtor{0,1}
@ATTRIBUTE #problems{0,1}
@ATTRIBUTE #plate{0,1}
@ATTRIBUTE #builder{0,1}
@ATTRIBUTE #dwarfing{0,1}
@ATTRIBUTE #career{0,1}
@ATTRIBUTE #loving{0,1}
@ATTRIBUTE #shall{0,1}
@ATTRIBUTE #longifolia{0,1}
@ATTRIBUTE #happened{0,1}
@ATTRIBUTE #traffic{0,1}
@ATTRIBUTE #contrasts{0,1}
@ATTRIBUTE #branch{0,1}
@ATTRIBUTE #salmon{0,1}
@ATTRIBUTE #measures{0,1}
@ATTRIBUTE #wherever{0,1}
@ATTRIBUTE #easton{0,1}
@ATTRIBUTE #senses{0,1}
@ATTRIBUTE #getting{0,1}
@ATTRIBUTE #typically{0,1}
@ATTRIBUTE #conducting{0,1}
@ATTRIBUTE #jogging{0,1}
@ATTRIBUTE #deprivation{0,1}
@ATTRIBUTE #ministry{0,1}
@ATTRIBUTE #ruc{0,1}
@ATTRIBUTE #states{0,1}
@ATTRIBUTE #charles{0,1}
@ATTRIBUTE #outline{0,1}
@ATTRIBUTE #claiming{0,1}
@ATTRIBUTE #private{0,1}
@ATTRIBUTE #tropics{0,1}
@ATTRIBUTE #typical{0,1}
@ATTRIBUTE #gonda{0,1}
@ATTRIBUTE #kenton{0,1}
@ATTRIBUTE #juvenile{0,1}
@ATTRIBUTE #ginger{0,1}
@ATTRIBUTE #violence{0,1}
@ATTRIBUTE #park{0,1}
@ATTRIBUTE #firm{0,1}
@ATTRIBUTE #larger{0,1}
@ATTRIBUTE #organisation{0,1}
@ATTRIBUTE #ones{0,1}
@ATTRIBUTE #spokesmen{0,1}
@ATTRIBUTE #young{0,1}
@ATTRIBUTE #surprised{0,1}
@ATTRIBUTE #broke{0,1}
@ATTRIBUTE #sukenick{0,1}
@ATTRIBUTE #degree{0,1}
@ATTRIBUTE #persistent{0,1}
@ATTRIBUTE #feeling{0,1}
@ATTRIBUTE #string{0,1}
@ATTRIBUTE #en{0,1}
@ATTRIBUTE #hardened{0,1}
@ATTRIBUTE #landscapes{0,1}
@ATTRIBUTE #endeavours{0,1}
@ATTRIBUTE #exemplified{0,1}
@ATTRIBUTE #historian{0,1}
@ATTRIBUTE #horror{0,1}
@ATTRIBUTE #zone{0,1}
@ATTRIBUTE #warning{0,1}
@ATTRIBUTE #x{0,1}
@ATTRIBUTE #englishman{0,1}
@ATTRIBUTE #interpretative{0,1}
@ATTRIBUTE #methods{0,1}
@ATTRIBUTE #polite{0,1}
@ATTRIBUTE #germans{0,1}
@ATTRIBUTE #throttle{0,1}
@ATTRIBUTE #marvellous{0,1}
@ATTRIBUTE #travel{0,1}
@ATTRIBUTE #hiking{0,1}
@ATTRIBUTE #organisations{0,1}
@ATTRIBUTE #looks{0,1}
@ATTRIBUTE #lewis{0,1}
@ATTRIBUTE #dignified{0,1}
@ATTRIBUTE #morina{0,1}
@ATTRIBUTE #gulf{0,1}
@ATTRIBUTE #halfway{0,1}
@ATTRIBUTE #commy{0,1}
@ATTRIBUTE #difficulties{0,1}
@ATTRIBUTE #characterize{0,1}
@ATTRIBUTE #guilt{0,1}
@ATTRIBUTE #younger{0,1}
@ATTRIBUTE #lacked{0,1}
@ATTRIBUTE #santillana{0,1}
@ATTRIBUTE #duckling{0,1}
@ATTRIBUTE #likely{0,1}
@ATTRIBUTE #stress{0,1}
@ATTRIBUTE #opposition{0,1}
@ATTRIBUTE #offenders{0,1}
@ATTRIBUTE #paperbacks{0,1}
@ATTRIBUTE #rays{0,1}
@ATTRIBUTE #economist{0,1}
@ATTRIBUTE #bourgeoisie{0,1}
@ATTRIBUTE #fingers{0,1}
@ATTRIBUTE #anger{0,1}
@ATTRIBUTE #australia{0,1}
@ATTRIBUTE #whom{0,1}
@ATTRIBUTE #buffoons{0,1}
@ATTRIBUTE #batman{0,1}
@ATTRIBUTE #leslie{0,1}
@ATTRIBUTE #commonly{0,1}
@ATTRIBUTE #kindness{0,1}
@ATTRIBUTE #implying{0,1}
@ATTRIBUTE #validating{0,1}
@ATTRIBUTE #hispanic{0,1}
@ATTRIBUTE #creator{0,1}
@ATTRIBUTE #doubts{0,1}
@ATTRIBUTE #disapproval{0,1}
@ATTRIBUTE #below{0,1}
@ATTRIBUTE #hectic{0,1}
@ATTRIBUTE #driver{0,1}
@ATTRIBUTE #rocks{0,1}
@ATTRIBUTE #bid{0,1}
@ATTRIBUTE #wheat{0,1}
@ATTRIBUTE #cable{0,1}
@ATTRIBUTE #dive{0,1}
@ATTRIBUTE #microbe{0,1}
@ATTRIBUTE #problem{0,1}
@ATTRIBUTE #loch{0,1}
@ATTRIBUTE #win{0,1}
@ATTRIBUTE #domestic{0,1}
@ATTRIBUTE #women{0,1}
@ATTRIBUTE #gaining{0,1}
@ATTRIBUTE #around{0,1}
@ATTRIBUTE #environmental{0,1}
@ATTRIBUTE #inflationary{0,1}
@ATTRIBUTE #illustrates{0,1}
@ATTRIBUTE #relations{0,1}
@ATTRIBUTE #emotional{0,1}
@ATTRIBUTE #anyone{0,1}
@ATTRIBUTE #cairn{0,1}
@ATTRIBUTE #first{0,1}
@ATTRIBUTE #boy{0,1}
@ATTRIBUTE #bottlenecks{0,1}
@ATTRIBUTE #miss{0,1}
@ATTRIBUTE #unforeseen{0,1}

@DATA
00001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
00001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
01000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00010, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
