@RELATION expect.v


@ATTRIBUTE sense {0000, 0010, 0110, 1000, 0100}
@ATTRIBUTE #might{0,1}
@ATTRIBUTE #next{0,1}
@ATTRIBUTE #find{0,1}
@ATTRIBUTE #present{0,1}
@ATTRIBUTE #cannot{0,1}
@ATTRIBUTE #work{0,1}
@ATTRIBUTE #sort{0,1}
@ATTRIBUTE #reasonable{0,1}
@ATTRIBUTE #people{0,1}
@ATTRIBUTE #now{0,1}

@DATA
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,1,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,1,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,1,0,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,1,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,1,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,1,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,1,0,0,0,0,0,0
0000,0,0,1,1,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,0,1,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,1,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,1,0,0,0,0,0,1
0000,1,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,1,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,1
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,1,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,1,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,1
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
