@RELATION image.n


@ATTRIBUTE senses {00001000, 10000000, 00000100, 00100000, 00000010, 00000001, 00000000, 01000000, 00010000}
@ATTRIBUTE #leeds{0,1}
@ATTRIBUTE #bright{0,1}
@ATTRIBUTE #somehow{0,1}
@ATTRIBUTE #inevitable{0,1}
@ATTRIBUTE #confrontational{0,1}
@ATTRIBUTE #poetry{0,1}
@ATTRIBUTE #richly{0,1}
@ATTRIBUTE #spot{0,1}
@ATTRIBUTE #formats{0,1}
@ATTRIBUTE #hierarchical{0,1}
@ATTRIBUTE #aggression{0,1}
@ATTRIBUTE #curly{0,1}
@ATTRIBUTE #file{0,1}
@ATTRIBUTE #consists{0,1}
@ATTRIBUTE #industry{0,1}
@ATTRIBUTE #objects{0,1}
@ATTRIBUTE #black{0,1}
@ATTRIBUTE #video{0,1}
@ATTRIBUTE #dispel{0,1}
@ATTRIBUTE #harlequin{0,1}
@ATTRIBUTE #thoughts{0,1}
@ATTRIBUTE #screen{0,1}
@ATTRIBUTE #creating{0,1}
@ATTRIBUTE #mod{0,1}
@ATTRIBUTE #delivers{0,1}
@ATTRIBUTE #prepare{0,1}
@ATTRIBUTE #responses{0,1}
@ATTRIBUTE #concrete{0,1}
@ATTRIBUTE #reads{0,1}
@ATTRIBUTE #models{0,1}
@ATTRIBUTE #bit{0,1}
@ATTRIBUTE #slumping{0,1}
@ATTRIBUTE #summoned{0,1}
@ATTRIBUTE #portrayed{0,1}
@ATTRIBUTE #ministers{0,1}
@ATTRIBUTE #mapped{0,1}
@ATTRIBUTE #backcloth{0,1}
@ATTRIBUTE #gif{0,1}
@ATTRIBUTE #creation{0,1}
@ATTRIBUTE #common{0,1}
@ATTRIBUTE #aspects{0,1}
@ATTRIBUTE #attractiveness{0,1}
@ATTRIBUTE #self{0,1}
@ATTRIBUTE #petroleum{0,1}
@ATTRIBUTE #blandness{0,1}
@ATTRIBUTE #date{0,1}
@ATTRIBUTE #lawson{0,1}
@ATTRIBUTE #spit{0,1}
@ATTRIBUTE #clean{0,1}
@ATTRIBUTE #paranoid{0,1}
@ATTRIBUTE #rambo{0,1}
@ATTRIBUTE #avenging{0,1}
@ATTRIBUTE #sri{0,1}
@ATTRIBUTE #motor{0,1}
@ATTRIBUTE #masquerading{0,1}
@ATTRIBUTE #tragic{0,1}
@ATTRIBUTE #grotesque{0,1}
@ATTRIBUTE #mandelson{0,1}
@ATTRIBUTE #osborne{0,1}
@ATTRIBUTE #files{0,1}
@ATTRIBUTE #ideas{0,1}
@ATTRIBUTE #moderation{0,1}
@ATTRIBUTE #anthony{0,1}
@ATTRIBUTE #progressive{0,1}
@ATTRIBUTE #anxiety{0,1}
@ATTRIBUTE #firm{0,1}
@ATTRIBUTE #restricted{0,1}
@ATTRIBUTE #established{0,1}
@ATTRIBUTE #consciousness{0,1}
@ATTRIBUTE #suffer{0,1}
@ATTRIBUTE #blocks{0,1}
@ATTRIBUTE #pixels{0,1}
@ATTRIBUTE #reserved{0,1}
@ATTRIBUTE #unruffled{0,1}
@ATTRIBUTE #strongest{0,1}
@ATTRIBUTE #wynn{0,1}
@ATTRIBUTE #modernise{0,1}
@ATTRIBUTE #distortions{0,1}
@ATTRIBUTE #mixture{0,1}
@ATTRIBUTE #simon{0,1}
@ATTRIBUTE #lanka{0,1}
@ATTRIBUTE #commonsense{0,1}
@ATTRIBUTE #follows{0,1}
@ATTRIBUTE #taint{0,1}
@ATTRIBUTE #kick{0,1}
@ATTRIBUTE #gleaned{0,1}
@ATTRIBUTE #restive{0,1}
@ATTRIBUTE #enable{0,1}
@ATTRIBUTE #implicit{0,1}
@ATTRIBUTE #firmly{0,1}
@ATTRIBUTE #tailors{0,1}
@ATTRIBUTE #seeks{0,1}
@ATTRIBUTE #changed{0,1}
@ATTRIBUTE #hovering{0,1}
@ATTRIBUTE #arrows{0,1}
@ATTRIBUTE #bold{0,1}
@ATTRIBUTE #patricia{0,1}
@ATTRIBUTE #reaching{0,1}
@ATTRIBUTE #annapurna{0,1}
@ATTRIBUTE #bush{0,1}
@ATTRIBUTE #murdoch{0,1}
@ATTRIBUTE #motifs{0,1}
@ATTRIBUTE #presented{0,1}
@ATTRIBUTE #bevins{0,1}
@ATTRIBUTE #conjuring{0,1}
@ATTRIBUTE #onto{0,1}
@ATTRIBUTE #flames{0,1}
@ATTRIBUTE #status{0,1}
@ATTRIBUTE #unsought{0,1}
@ATTRIBUTE #dimensional{0,1}
@ATTRIBUTE #dithering{0,1}
@ATTRIBUTE #rarity{0,1}
@ATTRIBUTE #embryo{0,1}
@ATTRIBUTE #madonna{0,1}
@ATTRIBUTE #format{0,1}
@ATTRIBUTE #positively{0,1}
@ATTRIBUTE #rbs{0,1}
@ATTRIBUTE #formal{0,1}
@ATTRIBUTE #stationary{0,1}
@ATTRIBUTE #policing{0,1}
@ATTRIBUTE #softer{0,1}
@ATTRIBUTE #thick{0,1}
@ATTRIBUTE #dogged{0,1}
@ATTRIBUTE #linking{0,1}
@ATTRIBUTE #enormously{0,1}
@ATTRIBUTE #makers{0,1}
@ATTRIBUTE #thin{0,1}
@ATTRIBUTE #acting{0,1}
@ATTRIBUTE #legal{0,1}
@ATTRIBUTE #discredit{0,1}
@ATTRIBUTE #coloured{0,1}
@ATTRIBUTE #direction{0,1}
@ATTRIBUTE #pringle{0,1}
@ATTRIBUTE #convert{0,1}
@ATTRIBUTE #impassive{0,1}
@ATTRIBUTE #conferences{0,1}
@ATTRIBUTE #resolution{0,1}
@ATTRIBUTE #embodies{0,1}
@ATTRIBUTE #pincombe{0,1}
@ATTRIBUTE #disappointment{0,1}
@ATTRIBUTE #timidity{0,1}
@ATTRIBUTE #fit{0,1}
@ATTRIBUTE #clothed{0,1}
@ATTRIBUTE #advancement{0,1}
@ATTRIBUTE #attractive{0,1}
@ATTRIBUTE #emotions{0,1}
@ATTRIBUTE #unusual{0,1}
@ATTRIBUTE #draws{0,1}
@ATTRIBUTE #sounds{0,1}
@ATTRIBUTE #projected{0,1}
@ATTRIBUTE #ladder{0,1}
@ATTRIBUTE #refers{0,1}
@ATTRIBUTE #yantra{0,1}
@ATTRIBUTE #metaphor{0,1}
@ATTRIBUTE #hardy{0,1}
@ATTRIBUTE #uniting{0,1}
@ATTRIBUTE #immediate{0,1}
@ATTRIBUTE #shed{0,1}
@ATTRIBUTE #unity{0,1}
@ATTRIBUTE #ondaatje{0,1}
@ATTRIBUTE #hackneyed{0,1}
@ATTRIBUTE #uses{0,1}
@ATTRIBUTE #weak{0,1}
@ATTRIBUTE #characteristic{0,1}
@ATTRIBUTE #transformations{0,1}
@ATTRIBUTE #colberg{0,1}
@ATTRIBUTE #presidency{0,1}

@DATA
00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000010, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
00000010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000010, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
