@RELATION miss.v


@ATTRIBUTE sense {000000000, 010000000, 000010000, 000001000, 001000000, 000100000, 000000100}
@ATTRIBUTE #unaccustomed{0,1}
@ATTRIBUTE #sympathises{0,1}
@ATTRIBUTE #blushed{0,1}
@ATTRIBUTE #birdied{0,1}
@ATTRIBUTE #umberto{0,1}
@ATTRIBUTE #slowness{0,1}
@ATTRIBUTE #damn{0,1}
@ATTRIBUTE #squinted{0,1}
@ATTRIBUTE #chubei{0,1}
@ATTRIBUTE #penchant{0,1}

@DATA
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000010000, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000010000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000010000, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
000100000, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000100000, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
001000000, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
001000000, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
