@RELATION note.v


@ATTRIBUTE sense {0001, 0000, 0011, 0010, 0100}
@ATTRIBUTE #son{0,1}
@ATTRIBUTE #peasants{0,1}
@ATTRIBUTE #observer{0,1}
@ATTRIBUTE #habit{0,1}
@ATTRIBUTE #guberniia{0,1}
@ATTRIBUTE #failures{0,1}
@ATTRIBUTE #fail{0,1}
@ATTRIBUTE #Social{0,1}
@ATTRIBUTE #Sister{0,1}
@ATTRIBUTE #Meanwhile{0,1}
@ATTRIBUTE #Letter{0,1}
@ATTRIBUTE #Cooney{0,1}

@DATA
0001,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0010,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,1,0,0,1
0001,0,0,0,0,0,0,0,1,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0100,0,0,0,0,0,0,0,0,0,0,0,0
0001,0,0,0,0,0,0,0,0,0,0,0,0
