@RELATION receive.v


@ATTRIBUTE senses {0100000000, 0010000000, 0000100000, 0000000000, 0000010000}
@ATTRIBUTE #phone{0,1}
@ATTRIBUTE #grant{0,1}
@ATTRIBUTE #bewildering{0,1}
@ATTRIBUTE #subsequently{0,1}
@ATTRIBUTE #card{0,1}
@ATTRIBUTE #bank{0,1}
@ATTRIBUTE #invitation{0,1}
@ATTRIBUTE #delighted{0,1}
@ATTRIBUTE #alone{0,1}
@ATTRIBUTE #key{0,1}
@ATTRIBUTE #copy{0,1}
@ATTRIBUTE #aisha{0,1}
@ATTRIBUTE #letter{0,1}
@ATTRIBUTE #dividend{0,1}
@ATTRIBUTE #alain{0,1}
@ATTRIBUTE #referrals{0,1}
@ATTRIBUTE #calls{0,1}
@ATTRIBUTE #digests{0,1}
@ATTRIBUTE #funds{0,1}
@ATTRIBUTE #hst{0,1}
@ATTRIBUTE #replies{0,1}
@ATTRIBUTE #satisfaction{0,1}
@ATTRIBUTE #letters{0,1}
@ATTRIBUTE #expert{0,1}
@ATTRIBUTE #raw{0,1}
@ATTRIBUTE #entrants{0,1}
@ATTRIBUTE #reminder{0,1}
@ATTRIBUTE #gift{0,1}
@ATTRIBUTE #hq{0,1}
@ATTRIBUTE #bill{0,1}
@ATTRIBUTE #assistance{0,1}
@ATTRIBUTE #neglect{0,1}
@ATTRIBUTE #disappearances{0,1}
@ATTRIBUTE #automatically{0,1}
@ATTRIBUTE #pensioners{0,1}
@ATTRIBUTE #entries{0,1}
@ATTRIBUTE #reply{0,1}
@ATTRIBUTE #trusts{0,1}
@ATTRIBUTE #couple{0,1}
@ATTRIBUTE #henceforth{0,1}
@ATTRIBUTE #building{0,1}
@ATTRIBUTE #muted{0,1}
@ATTRIBUTE #maker{0,1}
@ATTRIBUTE #approval{0,1}
@ATTRIBUTE #steel{0,1}
@ATTRIBUTE #bulk{0,1}
@ATTRIBUTE #diploma{0,1}
@ATTRIBUTE #dividends{0,1}
@ATTRIBUTE #ai{0,1}
@ATTRIBUTE #provincial{0,1}
@ATTRIBUTE #charge{0,1}
@ATTRIBUTE #prison{0,1}
@ATTRIBUTE #proposal{0,1}
@ATTRIBUTE #voucher{0,1}
@ATTRIBUTE #invited{0,1}

@DATA
0100000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000100000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0010000000, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0100000000, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000000, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0100000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0100000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
