@RELATION remain.v


@ATTRIBUTE sense {0001, 0000, 0010, 1000, 0100}
@ATTRIBUTE #still{0,1}
@ATTRIBUTE #while{0,1}
@ATTRIBUTE #prison{0,1}
@ATTRIBUTE #most{0,1}
@ATTRIBUTE #conscience{0,1}
@ATTRIBUTE #today{0,1}
@ATTRIBUTE #religious{0,1}
@ATTRIBUTE #prisoners{0,1}
@ATTRIBUTE #part{0,1}
@ATTRIBUTE #other{0,1}

@DATA
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,1,0,0
0000,0,0,0,1,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,1
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,1,0,0,1,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,1,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,1
0000,0,0,0,0,0,0,0,0,0,1
0000,0,1,0,0,0,1,0,0,0,1
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,1,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,1,0,0,1,0,0,0,0,1,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,1
0000,0,0,0,0,0,0,0,0,1,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,1,0,1
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,0,0,1,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,1,0,0,1,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,1,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,1,0
0000,0,0,0,1,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,1,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,0,0,0,0,0,0,0,0,0,0
0000,1,0,0,0,0,0,0,0,0,0
0000,0,1,0,0,0,0,0,0,0,0
