@RELATION rule.v


@ATTRIBUTE sense {000010, 010000, 000001}
@ATTRIBUTE #Court{0,1}
@ATTRIBUTE #Mr{0,1}
@ATTRIBUTE #Britain{0,1}
@ATTRIBUTE #country{0,1}
@ATTRIBUTE #until{0,1}
@ATTRIBUTE #set{0,1}
@ATTRIBUTE #illegal{0,1}
@ATTRIBUTE #Justice{0,1}
@ATTRIBUTE #High{0,1}
@ATTRIBUTE #years{0,1}
@ATTRIBUTE #world{0,1}
@ATTRIBUTE #work{0,1}

@DATA
000001,0,0,0,0,0,0,0,0,0,0,0,1
000010,1,0,1,0,0,0,0,0,1,1,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,1,0,0,0,0,0,0,0
010000,0,0,0,1,0,0,0,0,0,0,0,0
000010,0,1,0,0,0,0,0,1,0,0,0,0
010000,0,1,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,1,0,0,0,0,0,0,0,0,0,0
000001,0,0,0,0,0,1,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
000001,0,0,0,0,0,0,0,0,0,0,0,0
000010,1,0,0,0,0,0,1,0,0,1,0,0
000010,1,1,1,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,1,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,1
000010,1,0,0,0,0,0,0,0,1,0,0,0
000010,1,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,1,0,0,0,0,0,0,1,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,1,0,0,0,0,0,0,0,0
000010,1,0,0,0,0,0,0,0,1,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,1,0,0,1,0,0,0,0,1,0
010000,0,0,0,1,0,1,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,1,0,0,0,0
010000,0,0,0,1,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,1,1,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000010,1,1,0,0,0,0,0,1,1,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,1,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,1,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,1,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000010,0,0,0,0,0,0,0,0,0,0,0,0
000001,0,1,0,0,0,0,0,0,0,0,0,0
000010,1,0,0,0,0,0,0,0,0,0,0,0
010000,0,0,0,0,0,0,0,0,0,0,0,0
000010,1,0,0,0,0,0,1,0,1,0,0,0
000001,0,0,0,0,0,0,0,0,0,0,1,0
010000,0,0,1,0,1,0,0,0,0,0,0,0
000010,1,1,0,0,0,0,0,0,1,0,0,0
