@RELATION simple.a


@ATTRIBUTE senses {00000100, 00100000, 00000001, 00000000, 00010000}
@ATTRIBUTE #guide{0,1}
@ATTRIBUTE #grab{0,1}
@ATTRIBUTE #revenge{0,1}
@ATTRIBUTE #managers{0,1}
@ATTRIBUTE #acclimatisation{0,1}
@ATTRIBUTE #projection{0,1}
@ATTRIBUTE #operated{0,1}
@ATTRIBUTE #furniture{0,1}
@ATTRIBUTE #descriptions{0,1}
@ATTRIBUTE #zuckerman{0,1}
@ATTRIBUTE #banker{0,1}
@ATTRIBUTE #pause{0,1}
@ATTRIBUTE #transform{0,1}
@ATTRIBUTE #truth{0,1}
@ATTRIBUTE #rail{0,1}
@ATTRIBUTE #infinitely{0,1}
@ATTRIBUTE #elements{0,1}
@ATTRIBUTE #sheet{0,1}
@ATTRIBUTE #realism{0,1}
@ATTRIBUTE #thorough{0,1}
@ATTRIBUTE #beerhouses{0,1}
@ATTRIBUTE #cake{0,1}
@ATTRIBUTE #exceedingly{0,1}
@ATTRIBUTE #distinction{0,1}
@ATTRIBUTE #charitable{0,1}
@ATTRIBUTE #engine{0,1}
@ATTRIBUTE #seeing{0,1}
@ATTRIBUTE #explanation{0,1}
@ATTRIBUTE #counter{0,1}
@ATTRIBUTE #overcharging{0,1}
@ATTRIBUTE #injection{0,1}
@ATTRIBUTE #answer{0,1}
@ATTRIBUTE #pump{0,1}
@ATTRIBUTE #friendly{0,1}
@ATTRIBUTE #reduce{0,1}
@ATTRIBUTE #precepts{0,1}
@ATTRIBUTE #relationship{0,1}
@ATTRIBUTE #dishes{0,1}
@ATTRIBUTE #payments{0,1}
@ATTRIBUTE #suction{0,1}
@ATTRIBUTE #hatch{0,1}
@ATTRIBUTE #keeping{0,1}
@ATTRIBUTE #evolved{0,1}
@ATTRIBUTE #confection{0,1}

@DATA
00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000001, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
00000100, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
