@RELATION smell.v

@ATTRIBUTE #sweet{0,1}
@ATTRIBUTE #now{0,1}
@ATTRIBUTE #perfume{0,1}
@ATTRIBUTE #good{0,1}
@ATTRIBUTE #scent{0,1}
@ATTRIBUTE #real{0,1}
@ATTRIBUTE #still{0,1}
@ATTRIBUTE #smoke{0,1}
@ATTRIBUTE #smell{0,1}
@ATTRIBUTE #seeing{0,1}
@ATTRIBUTE #room{0,1}
@ATTRIBUTE #other{0,1}

@ATTRIBUTE sense {00001000, 10000000, 00000100, 00100000, 00001010, 00000010, 10010000, 00000000, 01000000, 00010000}

@DATA
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,1,0,1,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,1,0,0,0,0,0,0,0
01000000,0,0,1,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,1,1
01000000,0,0,0,0,0,0,0,0,1,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,1,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,1,0,0,1,0,0,0,0,1,0,0,0
00001000,1,0,0,1,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,1,0,0,0,0,0,0,0,0,0,0
00001000,1,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,1,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,1,0,1,0,0,0,0,0,0
00001000,0,0,0,1,0,0,0,0,0,0,0,0
00001000,0,0,0,1,0,1,0,0,0,0,0,0
01000000,0,1,0,0,0,0,0,1,1,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00000010,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,1,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,1,0,0,0,0,1,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,1,0,0,0,0,0,0,0,0,0,0,0
01000000,0,1,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,1,0,0,0,0,1,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
10010000,0,0,0,0,0,0,0,0,0,0,0,0
00000010,0,0,0,0,0,0,0,0,0,0,1,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
00001010,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,1,0,0,0,0,0,0,0,0,0
01000000,1,0,0,0,0,0,0,0,1,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,1,0,1
00001000,0,0,0,0,0,0,0,0,0,0,1,0
01000000,0,0,0,0,0,0,0,0,1,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,1,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,1
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,1,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00000010,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,1,0,0,0,0,0,0,0,0,0,0
00001000,1,0,0,0,0,0,0,0,0,0,0,0
00000010,0,0,0,0,0,0,1,0,0,0,1,0
00000010,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,1,0,0,0,0,0,0,0,0,0
00001000,1,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,1,0,0,0,0
10000000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,1,0,0,0,0,0,0,0,0,0,0,0
00001000,1,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,1,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,1,0,0,0,0,0,0,1
00000010,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,1,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
00010000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,1,0,0,0,0,0,0,0,0,0,0
00001000,0,0,1,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,1,0,0,0,0,0,0,0
00100000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,1,0,0,0,0,0
00001000,0,0,0,1,0,0,0,0,0,0,0,0
00001010,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,1,0,0
01000000,0,1,0,0,0,0,0,0,0,0,0,0
00000100,0,0,0,1,0,0,0,0,0,0,0,0
01000000,0,0,0,0,0,0,0,0,0,0,0,0
01000000,0,0,1,0,0,0,1,0,0,0,0,0
00100000,0,0,0,0,0,0,0,0,0,0,0,0
00001000,0,0,0,0,0,0,0,0,0,0,0,0
00000010,0,0,0,0,0,0,0,0,0,0,0,0
