@RELATION solid.a


@ATTRIBUTE senses {010000000000000, 001000000000000, 000000000000100, 000000100000000, 100000000000000, 000000000000000, 000000001000000, 000000000001000, 000000000010000, 000000010000000, 000001000000000, 000010000000000, 000000000000010}
@ATTRIBUTE #reliable{0,1}
@ATTRIBUTE #pagoda{0,1}
@ATTRIBUTE #wood{0,1}
@ATTRIBUTE #germans{0,1}
@ATTRIBUTE #illustration{0,1}
@ATTRIBUTE #rock{0,1}
@ATTRIBUTE #embellished{0,1}
@ATTRIBUTE #socialism{0,1}
@ATTRIBUTE #thump{0,1}
@ATTRIBUTE #thanks{0,1}
@ATTRIBUTE #scheme{0,1}
@ATTRIBUTE #practical{0,1}
@ATTRIBUTE #tree{0,1}
@ATTRIBUTE #seat{0,1}
@ATTRIBUTE #mixing{0,1}
@ATTRIBUTE #lippings{0,1}
@ATTRIBUTE #shots{0,1}
@ATTRIBUTE #guarantees{0,1}
@ATTRIBUTE #sunshine{0,1}
@ATTRIBUTE #shivered{0,1}
@ATTRIBUTE #spd{0,1}
@ATTRIBUTE #linked{0,1}
@ATTRIBUTE #cellular{0,1}
@ATTRIBUTE #champion{0,1}
@ATTRIBUTE #timber{0,1}
@ATTRIBUTE #campaigning{0,1}
@ATTRIBUTE #opposition{0,1}
@ATTRIBUTE #soul{0,1}
@ATTRIBUTE #finger{0,1}
@ATTRIBUTE #board{0,1}
@ATTRIBUTE #reads{0,1}
@ATTRIBUTE #flagship{0,1}
@ATTRIBUTE #befits{0,1}
@ATTRIBUTE #speech{0,1}
@ATTRIBUTE #slots{0,1}
@ATTRIBUTE #silhouettes{0,1}
@ATTRIBUTE #misunderstood{0,1}
@ATTRIBUTE #resonant{0,1}
@ATTRIBUTE #packed{0,1}
@ATTRIBUTE #fails{0,1}
@ATTRIBUTE #hooks{0,1}
@ATTRIBUTE #brick{0,1}
@ATTRIBUTE #wax{0,1}
@ATTRIBUTE #chase{0,1}
@ATTRIBUTE #sleeping{0,1}
@ATTRIBUTE #frozen{0,1}
@ATTRIBUTE #flame{0,1}
@ATTRIBUTE #plot{0,1}
@ATTRIBUTE #achievements{0,1}
@ATTRIBUTE #landing{0,1}
@ATTRIBUTE #attractive{0,1}
@ATTRIBUTE #supported{0,1}
@ATTRIBUTE #formed{0,1}
@ATTRIBUTE #hole{0,1}
@ATTRIBUTE #extremely{0,1}
@ATTRIBUTE #leaps{0,1}
@ATTRIBUTE #houses{0,1}
@ATTRIBUTE #holder{0,1}
@ATTRIBUTE #gives{0,1}
@ATTRIBUTE #jade{0,1}
@ATTRIBUTE #essays{0,1}
@ATTRIBUTE #links{0,1}
@ATTRIBUTE #crag{0,1}
@ATTRIBUTE #heavier{0,1}
@ATTRIBUTE #landed{0,1}
@ATTRIBUTE #cherry{0,1}
@ATTRIBUTE #snake{0,1}
@ATTRIBUTE #advantage{0,1}
@ATTRIBUTE #safety{0,1}
@ATTRIBUTE #genial{0,1}
@ATTRIBUTE #rome{0,1}
@ATTRIBUTE #elegant{0,1}
@ATTRIBUTE #scientific{0,1}
@ATTRIBUTE #base{0,1}
@ATTRIBUTE #victorian{0,1}
@ATTRIBUTE #dining{0,1}
@ATTRIBUTE #core{0,1}
@ATTRIBUTE #construct{0,1}
@ATTRIBUTE #bags{0,1}
@ATTRIBUTE #musicianship{0,1}
@ATTRIBUTE #handles{0,1}
@ATTRIBUTE #napkin{0,1}
@ATTRIBUTE #steam{0,1}

@DATA
000000000000010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000001000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000000010, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000001000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
000000000001000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
