@RELATION source.n


@ATTRIBUTE senses {00001000, 00000100, 00100000, 00000010, 00000001, 00000000, 01000000, 00010000}
@ATTRIBUTE #sector{0,1}
@ATTRIBUTE #reliable{0,1}
@ATTRIBUTE #agatha{0,1}
@ATTRIBUTE #discusses{0,1}
@ATTRIBUTE #deficit{0,1}
@ATTRIBUTE #glycogen{0,1}
@ATTRIBUTE #failing{0,1}
@ATTRIBUTE #shops{0,1}
@ATTRIBUTE #milk{0,1}
@ATTRIBUTE #protein{0,1}
@ATTRIBUTE #applications{0,1}
@ATTRIBUTE #light{0,1}
@ATTRIBUTE #reclaimed{0,1}
@ATTRIBUTE #information{0,1}
@ATTRIBUTE #timber{0,1}
@ATTRIBUTE #curiosity{0,1}
@ATTRIBUTE #majority{0,1}
@ATTRIBUTE #agencies{0,1}
@ATTRIBUTE #apart{0,1}
@ATTRIBUTE #managed{0,1}
@ATTRIBUTE #qualities{0,1}
@ATTRIBUTE #reservation{0,1}
@ATTRIBUTE #attacks{0,1}
@ATTRIBUTE #sorts{0,1}
@ATTRIBUTE #plant{0,1}
@ATTRIBUTE #silent{0,1}
@ATTRIBUTE #excitement{0,1}
@ATTRIBUTE #creation{0,1}
@ATTRIBUTE #undeniable{0,1}
@ATTRIBUTE #sensation{0,1}
@ATTRIBUTE #destruction{0,1}
@ATTRIBUTE #emotive{0,1}
@ATTRIBUTE #object{0,1}
@ATTRIBUTE #includes{0,1}
@ATTRIBUTE #invaluable{0,1}
@ATTRIBUTE #closer{0,1}
@ATTRIBUTE #recent{0,1}
@ATTRIBUTE #iron{0,1}
@ATTRIBUTE #twin{0,1}
@ATTRIBUTE #abundant{0,1}
@ATTRIBUTE #dual{0,1}
@ATTRIBUTE #extensive{0,1}
@ATTRIBUTE #remarkable{0,1}
@ATTRIBUTE #cypress{0,1}
@ATTRIBUTE #painter{0,1}
@ATTRIBUTE #interpretation{0,1}
@ATTRIBUTE #sustainably{0,1}
@ATTRIBUTE #checking{0,1}
@ATTRIBUTE #goodness{0,1}
@ATTRIBUTE #houses{0,1}
@ATTRIBUTE #extreme{0,1}
@ATTRIBUTE #articles{0,1}
@ATTRIBUTE #embarrassment{0,1}
@ATTRIBUTE #trace{0,1}
@ATTRIBUTE #evaluating{0,1}
@ATTRIBUTE #constructivist{0,1}
@ATTRIBUTE #material{0,1}
@ATTRIBUTE #reference{0,1}
@ATTRIBUTE #foods{0,1}
@ATTRIBUTE #disdain{0,1}
@ATTRIBUTE #grain{0,1}
@ATTRIBUTE #leyland{0,1}
@ATTRIBUTE #christie{0,1}
@ATTRIBUTE #medieval{0,1}
@ATTRIBUTE #energy{0,1}
@ATTRIBUTE #deducted{0,1}

@DATA
00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000001, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
