@RELATION suspend.v


@ATTRIBUTE senses {00001000, 10000000, 00000100, 00100000, 00000010, 00000001, 00000000, 01000000, 00010000}
@ATTRIBUTE #stocking{0,1}
@ATTRIBUTE #threat{0,1}
@ATTRIBUTE #fish{0,1}
@ATTRIBUTE #external{0,1}
@ATTRIBUTE #amateurs{0,1}
@ATTRIBUTE #excessive{0,1}
@ATTRIBUTE #constables{0,1}
@ATTRIBUTE #hung{0,1}
@ATTRIBUTE #complying{0,1}
@ATTRIBUTE #cristiani{0,1}
@ATTRIBUTE #matches{0,1}
@ATTRIBUTE #abuse{0,1}
@ATTRIBUTE #terry{0,1}
@ATTRIBUTE #suspends{0,1}
@ATTRIBUTE #briefly{0,1}
@ATTRIBUTE #judgement{0,1}
@ATTRIBUTE #activities{0,1}
@ATTRIBUTE #crews{0,1}
@ATTRIBUTE #gynn{0,1}
@ATTRIBUTE #animation{0,1}
@ATTRIBUTE #sixty{0,1}
@ATTRIBUTE #mcgrath{0,1}
@ATTRIBUTE #cubic{0,1}
@ATTRIBUTE #disarray{0,1}
@ATTRIBUTE #athletes{0,1}
@ATTRIBUTE #bait{0,1}
@ATTRIBUTE #shrine{0,1}
@ATTRIBUTE #announced{0,1}
@ATTRIBUTE #harrison{0,1}
@ATTRIBUTE #london{0,1}
@ATTRIBUTE #session{0,1}
@ATTRIBUTE #reagan{0,1}
@ATTRIBUTE #payments{0,1}
@ATTRIBUTE #ought{0,1}
@ATTRIBUTE #senator{0,1}
@ATTRIBUTE #pupils{0,1}
@ATTRIBUTE #scott{0,1}
@ATTRIBUTE #judgment{0,1}
@ATTRIBUTE #bracketed{0,1}
@ATTRIBUTE #pair{0,1}
@ATTRIBUTE #ground{0,1}
@ATTRIBUTE #arrivals{0,1}
@ATTRIBUTE #workington{0,1}
@ATTRIBUTE #aid{0,1}
@ATTRIBUTE #iaaf{0,1}
@ATTRIBUTE #precariously{0,1}
@ATTRIBUTE #fujimori{0,1}
@ATTRIBUTE #sparkling{0,1}
@ATTRIBUTE #toilet{0,1}
@ATTRIBUTE #tests{0,1}
@ATTRIBUTE #france{0,1}
@ATTRIBUTE #protests{0,1}
@ATTRIBUTE #clinical{0,1}
@ATTRIBUTE #campaign{0,1}
@ATTRIBUTE #tuesday{0,1}
@ATTRIBUTE #trading{0,1}
@ATTRIBUTE #demanded{0,1}
@ATTRIBUTE #united{0,1}
@ATTRIBUTE #imprisonment{0,1}
@ATTRIBUTE #seventeen{0,1}
@ATTRIBUTE #christmas{0,1}
@ATTRIBUTE #n{0,1}
@ATTRIBUTE #friendly{0,1}
@ATTRIBUTE #accepting{0,1}
@ATTRIBUTE #cancelling{0,1}
@ATTRIBUTE #suspended{0,1}
@ATTRIBUTE #loans{0,1}
@ATTRIBUTE #red{0,1}
@ATTRIBUTE #days{0,1}
@ATTRIBUTE #hurlock{0,1}
@ATTRIBUTE #forthwith{0,1}
@ATTRIBUTE #councils{0,1}
@ATTRIBUTE #players{0,1}
@ATTRIBUTE #testing{0,1}
@ATTRIBUTE #brother{0,1}
@ATTRIBUTE #astra{0,1}
@ATTRIBUTE #detective{0,1}
@ATTRIBUTE #bound{0,1}
@ATTRIBUTE #week{0,1}
@ATTRIBUTE #behalf{0,1}
@ATTRIBUTE #constricting{0,1}
@ATTRIBUTE #monday{0,1}
@ATTRIBUTE #completion{0,1}
@ATTRIBUTE #values{0,1}
@ATTRIBUTE #rope{0,1}
@ATTRIBUTE #floors{0,1}
@ATTRIBUTE #practically{0,1}
@ATTRIBUTE #january{0,1}
@ATTRIBUTE #primary{0,1}
@ATTRIBUTE #composition{0,1}
@ATTRIBUTE #guilt{0,1}
@ATTRIBUTE #contributions{0,1}
@ATTRIBUTE #trials{0,1}
@ATTRIBUTE #roadworks{0,1}
@ATTRIBUTE #aeroplane{0,1}
@ATTRIBUTE #sheringham{0,1}
@ATTRIBUTE #diplomatic{0,1}
@ATTRIBUTE #cost{0,1}
@ATTRIBUTE #seized{0,1}
@ATTRIBUTE #anc{0,1}
@ATTRIBUTE #virtually{0,1}
@ATTRIBUTE #nation{0,1}
@ATTRIBUTE #clubs{0,1}
@ATTRIBUTE #decided{0,1}
@ATTRIBUTE #parliamentary{0,1}
@ATTRIBUTE #ceiling{0,1}
@ATTRIBUTE #due{0,1}
@ATTRIBUTE #orders{0,1}
@ATTRIBUTE #talks{0,1}
@ATTRIBUTE #strangely{0,1}
@ATTRIBUTE #extending{0,1}
@ATTRIBUTE #constitution{0,1}
@ATTRIBUTE #shaped{0,1}
@ATTRIBUTE #keighley{0,1}
@ATTRIBUTE #ambulance{0,1}
@ATTRIBUTE #disbelief{0,1}
@ATTRIBUTE #stockbrokers{0,1}
@ATTRIBUTE #sentences{0,1}
@ATTRIBUTE #salvadoreans{0,1}
@ATTRIBUTE #nets{0,1}
@ATTRIBUTE #hang{0,1}
@ATTRIBUTE #israel{0,1}
@ATTRIBUTE #waterloo{0,1}
@ATTRIBUTE #elder{0,1}
@ATTRIBUTE #officers{0,1}
@ATTRIBUTE #undertook{0,1}
@ATTRIBUTE #atp{0,1}
@ATTRIBUTE #midfielder{0,1}
@ATTRIBUTE #donors{0,1}
@ATTRIBUTE #declan{0,1}
@ATTRIBUTE #temporarily{0,1}
@ATTRIBUTE #above{0,1}
@ATTRIBUTE #pay{0,1}
@ATTRIBUTE #wellington{0,1}
@ATTRIBUTE #chris{0,1}
@ATTRIBUTE #refusing{0,1}
@ATTRIBUTE #drug{0,1}
@ATTRIBUTE #fittings{0,1}
@ATTRIBUTE #functions{0,1}
@ATTRIBUTE #minutes{0,1}
@ATTRIBUTE #feet{0,1}
@ATTRIBUTE #nicaragua{0,1}
@ATTRIBUTE #massachusetts{0,1}
@ATTRIBUTE #mohan{0,1}
@ATTRIBUTE #indefinitely{0,1}
@ATTRIBUTE #units{0,1}
@ATTRIBUTE #tables{0,1}
@ATTRIBUTE #andante{0,1}
@ATTRIBUTE #months{0,1}
@ATTRIBUTE #relations{0,1}
@ATTRIBUTE #michael{0,1}
@ATTRIBUTE #approaching{0,1}
@ATTRIBUTE #operations{0,1}
@ATTRIBUTE #benefits{0,1}
@ATTRIBUTE #kennedy{0,1}

@DATA
00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
00000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000010, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
