@RELATION wash.v


@ATTRIBUTE sense {0000001000000, 0001000000000, 0000000000100, 0010000000000, 0000000100000, 0100000000000, 0000000000000, 0000100000000, 1000000000000, 0000000000001, 0000000010000}
@ATTRIBUTE #clothes{0,1}
@ATTRIBUTE #wearing{0,1}
@ATTRIBUTE #sink{0,1}
@ATTRIBUTE #salts{0,1}
@ATTRIBUTE #mug{0,1}
@ATTRIBUTE #massage{0,1}
@ATTRIBUTE #eating{0,1}
@ATTRIBUTE #dried{0,1}
@ATTRIBUTE #dishes{0,1}
@ATTRIBUTE #dirty{0,1}
@ATTRIBUTE #breakfast{0,1}
@ATTRIBUTE #bathroom{0,1}

@DATA
0000000100000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100000,0,0,0,0,0,0,0,0,0,0,0,1
0100000000000,1,0,0,0,0,0,0,0,0,0,0,0
0000000000100,0,0,0,0,0,0,0,0,0,0,0,0
0000000100000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000001,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000100,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,1,1,0,0
0000000100000,0,0,1,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,1,0,0,0,0,0,0,0,0,0,0
0001000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,1,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,1,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,1,0,0,0
0100000000000,0,0,1,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
1000000000000,0,0,0,0,0,0,0,0,0,0,0,0
0010000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,1,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000010000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000000100,0,0,0,0,1,0,0,0,0,0,1,0
0000000000100,0,0,0,0,0,0,0,0,0,0,0,0
0000000000001,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,1,0,0,0,0,0,0,0,0,0,0,0
0000001000000,0,0,0,0,0,0,0,0,0,0,0,0
0001000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,1,0,0,0,0
0000000100000,0,0,0,0,0,0,0,0,0,0,1,0
0000000000100,0,0,0,0,0,0,0,0,0,0,1,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,1,0,0,0,0,0,0,0,0
0000000100000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,1,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,1,0,0,0,0,1,0,0
0000100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,1,0,0,0,0,0,0
0000100000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100000,0,0,0,0,0,0,1,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,1,1,0,0,0,0,0,0,0,0,0,0
1000000000000,0,0,0,0,0,0,0,0,0,0,0,0
0000000100000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,1
0000000100000,0,0,0,0,0,0,0,0,0,0,0,0
0100000000000,0,0,0,0,0,0,0,0,0,0,0,0
